unit_id,question_name,question_text,question_type,answer_a,answer_b,answer_c,answer_d,correct_answer,rationale,difficulty,source_backbone
"U03","U03_Q01_source","Which source backbone maps to U03 - Nutrition and Hydration?","multichoice","Module 11 - Nutrition","Module 10 - Vital Signs","Module 12 - Emergency Procedures","A copied government form or signer binder","A","U03 is built from Module 11 - Nutrition and focuses on nutrients, fluids, therapeutic diets, feeding assistance, hydration observations, aspiration-risk cues, cultural food practices, and alternative nutrition boundaries.","easy","Module 11 - Nutrition"
"U03","U03_Q02_thickened_liquids_scenario","Resident C has nectar-thick liquids ordered. A visitor leaves regular water and chips at the bedside. What is the best CNA action?","multichoice","Ignore the items because visitors may bring any foods that comfort the resident.","Hold the unsafe items, keep the resident's ordered diet in place, explain respectfully, and notify the nurse or dietary process about safe options.","Thin the ordered beverage so Resident C will drink more.","Tell the visitor the concern is their fault and remove all food without reporting.","B","The CNA must follow the ordered diet, protect swallowing safety, communicate respectfully, and report diet conflicts rather than changing the order or blaming the visitor.","medium","Module 11 - Nutrition"
"U03","U03_Q03_scope_diet_order","Which action is outside CNA scope when a resident dislikes the ordered thickened liquid?","multichoice","Report the concern to the licensed nurse.","Offer allowed choices listed on the care plan.","Change the liquid to thin water because the resident asks for it.","Record intake according to facility policy.","C","CNAs do not change diet or liquid consistency orders. Dislike, refusal, or poor intake should be reported so licensed or dietary staff can evaluate safe alternatives.","medium","Module 11 - Nutrition"
"U03","U03_Q04_objective_documentation","Which entry is the most objective for a meal-safety concern?","multichoice","Resident was dramatic and refused to swallow normally.","Resident probably aspirated because the visitor brought bad food.","Family caused a diet problem and should not visit at meals.","Resident coughed twice after nectar-thick liquid at lunch; wet voice noted; feeding paused; nurse notified.","D","Objective documentation records observed facts, the meal context, the safety action, and notification without diagnosis, blame, or unsupported conclusions.","medium","Module 11 - Nutrition"
"U03","U03_Q05_dysphagia_term","What does dysphagia mean in this nutrition unit?","multichoice","A certificate approval number.","Difficulty swallowing.","A hands-on feeding skill checkoff.","A government diet form copied into Moodle.","B","Dysphagia means difficulty swallowing and is important because it may require ordered texture changes, thickened liquids, supervision, and prompt reporting of coughing or wet voice.","easy","Module 11 - Nutrition"
"U03","U03_Q06_feeding_assistance_sequence","During lunch, a resident is alert and ready to eat. Which feeding-assistance sequence is safest?","multichoice","Stand over the resident, give large bites quickly, and focus on finishing the tray.","Offer thin liquids first even if thickened liquids are ordered.","Perform hand hygiene, verify the correct tray and diet, position the resident upright, offer small bites or sips, allow time to swallow, and watch for coughing or wet voice.","Skip dentures and adaptive utensils if the meal is already late.","C","Safe feeding assistance includes preparation, correct tray verification, positioning, pacing, adaptive support, and observation for aspiration-risk cues while protecting dignity.","medium","Module 11 - Nutrition"
"U03","U03_Q07_dehydration_observations","Resident C has taken only a few sips at meals for two days and today appears dizzy when standing with very dark urine noted on assigned output tracking. What should the CNA do?","multichoice","Wait until the weekly weight review because fluids are a nursing issue.","Diagnose dehydration and start extra fluids beyond the care plan.","Post the situation in the online course forum to ask classmates for advice.","Report the poor intake and objective observations promptly, continue allowed hydration support, and document intake/output according to policy.","D","Poor intake with dizziness and dark urine are reportable hydration observations. The CNA supports permitted fluids and accurate records but does not diagnose or exceed ordered limits.","hard","Module 11 - Nutrition"
"U03","U03_Q08_cultural_religious_preference","A resident refuses a meal because it contains a food avoided for religious reasons. What is the best CNA response?","multichoice","Tell the resident that diet orders are more important than beliefs and leave the tray.","Assume all residents from the same background follow the same food rules.","Acknowledge the preference, avoid arguing, keep the resident safe, and report through the approved nursing or dietary channel for an allowed alternative.","Promise to bring outside food without checking the current diet order.","C","Food choices can reflect culture, religion, and identity. CNAs should respect the preference, avoid assumptions, and use approved channels so safe diet-compliant options can be considered.","medium","Module 11 - Nutrition"
"U03","U03_Q09_alternative_nutrition_boundary","A resident with a feeding tube has leakage around the tube site and says the abdomen feels uncomfortable. Which response fits CNA scope?","multichoice","Flush the tube to see if the discomfort improves.","Increase or decrease the tube-feeding rate based on the resident's symptoms.","Disconnect the tubing and reconnect it later if the resident feels better.","Keep the resident safe, observe the leakage and statement, and notify the licensed nurse promptly according to policy.","D","Alternative nutrition such as tube feeding is managed by licensed staff under policy. CNAs report tube-site concerns, discomfort, alarms, or displacement signs and do not adjust, flush, or reconnect lines independently.","hard","Module 11 - Nutrition"
"U03","U03_Q10_certificate_gate","Which statement is compliance-safe for U03 while the course is Draft / Pending CDPH Approval?","multichoice","Certificate release remains blocked until approval metadata, required Moodle evidence, assessment gates, identity/no-PHI attestations, and administrative approval-status gates are satisfied.","Passing the U03 quiz alone immediately releases a certificate.","The feeding scenario provides clinical hours and hands-on validation.","Learners should upload real facility diet records to prove participation.","A","U03 is online CE only. It does not provide clinical or hands-on validation, uses fictional information only, and cannot release a certificate until all evidence and approval-status gates are satisfied.","easy","Module 11 - Nutrition"
