unit_id,question_name,question_text,question_type,answer_a,answer_b,answer_c,answer_d,correct_answer,rationale,difficulty,source_backbone
U09,U09_Q01_source,Which source backbone maps to U09 - Observation and Charting II: Documentation and Reporting?,multichoice,Module 15 - Observation and Charting,Module 10 - Vital Signs,Module 16 - Death and Dying,A copied government form,A,"U09 is mapped to Module 15 - Observation and Charting, with emphasis on charting documents, ADL/MDS-related documentation, reporting, and correction principles.",easy,Module 15 - Observation and Charting
U09,U09_Q02_priority,"Resident K slides from a wheelchair to the floor, states that the arm stings, and a coworker suggests charting only assisted with transfer. What is the best CNA response?",multichoice,Chart assisted with transfer because a coworker recommended it.,"Stay with the resident as safe, report immediately to the licensed nurse, document facts, and follow incident policy.",Move the resident back into the wheelchair before telling anyone.,Wait until the end of the shift to see whether pain continues.,B,"The scenario requires immediate reporting, factual documentation, and refusal to falsify the record; routine documentation does not replace notifying licensed staff.",medium,Module 15 - Observation and Charting
U09,U09_Q03_scope,Which action is outside CNA scope and violates legal charting principles in U09?,multichoice,Documenting care after it is provided.,Using facility-approved abbreviations only.,Falsifying a note to make an unusual event look like routine care.,Reporting a change in condition to the licensed nurse.,C,"Falsification is unsafe, unethical, and outside CNA responsibilities; CNAs document truthful facts and follow policy.",medium,Module 15 - Observation and Charting
U09,U09_Q04_objective_note,Which documentation entry is most objective for a fictional slide-to-floor event after the nurse has been notified?,multichoice,Resident was careless and caused a fall.,Resident probably has a new injury and should not reach for things.,Coworker said not to make a big deal out of it.,"At 0915 resident slid from wheelchair to floor while reaching toward closet; stated, 'my arm stings'; small open area observed on left forearm; nurse notified at 0916.",D,"The correct entry records time, observed facts, the resident's own statement, the skin observation, and notification without blame or diagnosis.",medium,Module 15 - Observation and Charting
U09,U09_Q05_reporting_vs_documentation,Which statement best distinguishes reporting from documentation?,multichoice,"Reporting is timely communication to the correct staff member; documentation is the official factual record completed according to policy.",Documentation replaces reporting when a chart note is entered.,Reporting is only needed if the resident asks for it.,Documentation should include opinions so the nurse knows what the CNA thinks.,A,"U09 emphasizes that urgent findings must be reported promptly and then documented factually; the two actions support each other but are not interchangeable.",easy,Module 15 - Observation and Charting
U09,U09_Q06_correction_process,"A CNA accidentally enters a note under the wrong fictional resident in an electronic chart. What is the safest next step?",multichoice,Delete the note and say nothing if the system allows it.,"Follow facility policy for electronic correction or amendment, notify the appropriate supervisor if required, and enter the correct note in the correct record.",Ask a coworker to chart a replacement note under the coworker's login.,Backdate the corrected note so the time looks unchanged.,B,"The correction process should preserve the record, identify and correct the error through approved channels, and avoid deletion, backdating, or another person's login.",medium,Module 15 - Observation and Charting
U09,U09_Q07_adl_mds_accuracy,"A resident usually needs supervision for toileting but today required weight-bearing help and refused a shower. Which documentation choice best supports ADL/MDS-related accuracy?",multichoice,Chart the usual level of supervision because that is the resident's baseline.,Chart total dependence for all ADLs because the day was difficult.,"Document the actual assistance provided, the shower refusal, alternatives offered as assigned, and report the change according to policy.",Leave the ADL fields blank because the MDS team will decide later.,C,"ADL documentation should reflect actual resident performance and staff support for the time period, including refusals and reportable changes.",hard,Module 15 - Observation and Charting
U09,U09_Q08_charting_documents,Which pairing best describes common documentation documents used in CNA work?,multichoice,Incident reports are used to replace nurse notification.,Meal intake records are used to diagnose swallowing disorders.,Care plans are where CNAs change therapy orders independently.,"ADL flow sheets record assistance provided, and incident reports record facts about unusual events according to policy.",D,"U09 focuses on using the right document for the right purpose while staying within CNA scope and facility policy.",medium,Module 15 - Observation and Charting
U09,U09_Q09_late_entry,"At 1400, a CNA realizes an 1100 report to the nurse about a skin tear was not documented. What is the best action?",multichoice,"Follow facility late-entry policy with the current date/time, the actual event time, factual details, and the nurse notification information.",Backdate the entry to 1100 so no one sees it was late.,Skip the entry because the nurse already knows.,Ask another aide to write the note instead.,A,"A late entry should be transparent, factual, and completed according to policy; backdating or omitting the event creates an inaccurate record.",hard,Module 15 - Observation and Charting
U09,U09_Q10_confidentiality,"In a Moodle documentation practice activity, which action best protects confidentiality?",multichoice,Use real resident initials but omit the last name.,Use only the fictional scenario details provided in the course and no real facility or resident information.,Use a real event from work because it improves realism.,Upload a screenshot of an electronic chart with identifiers covered by a sticky note.,B,"The course requires fictional, de-identified practice only; real resident or facility information and EHR screenshots must not be entered into Moodle.",easy,Module 15 - Observation and Charting
