course_id,question_name,question_text,question_type,answer_a,answer_b,answer_c,answer_d,correct_answer,rationale,difficulty,core_category
RCFE-CETP-003,RCFE-CETP-003_Q001,"In dementia-related environmental safety, what should an RCFE administrator evaluate first during a routine walkthrough?",multichoice,"How the setting may be experienced by residents with impaired memory, judgment, vision, or orientation","Whether the furniture arrangement is easiest for housekeeping","How quickly staff can move residents away from common areas","Whether all residents can follow written warning signs",A,"Environmental review should consider the resident's perception of lighting, paths, cues, noise, and reachable hazards because dementia can change how ordinary spaces are understood.",foundational,"Managing Alzheimer's Disease and Related Dementias"
RCFE-CETP-003,RCFE-CETP-003_Q002,"Which environmental feature most directly supports wayfinding for a resident living with dementia?",multichoice,"A rule requiring residents to ask before entering the hallway","A locked activity room that limits choices after lunch","Clear visual cues, contrast, and familiar landmarks near key destinations","A staff-only map posted behind the reception desk",C,"Wayfinding improves when cues are visible, familiar, and meaningful to the resident; staff-only information or broad restriction does not help the resident navigate.",foundational,"Managing Alzheimer's Disease and Related Dementias"
RCFE-CETP-003,RCFE-CETP-003_Q003,"What makes an unlocked supply closet a dementia-care safety concern?",multichoice,"It mainly affects the appearance of the facility tour route","Residents with impaired judgment may handle cleaning products, tools, or small items without recognizing danger","It automatically proves the resident's service plan is incorrect","It should be addressed only if a family member complains",B,"Dangerous-item control is part of environmental safety because dementia may impair recognition of hazards and the facility must correct reachable risks promptly.",foundational,"Managing Alzheimer's Disease and Related Dementias"
RCFE-CETP-003,RCFE-CETP-003_Q004,"Which statement best describes least restrictive safety practice in this course?",multichoice,"Use the same restriction for every resident with a dementia diagnosis","Avoid documenting hazards if no injury occurred","Prioritize staff convenience when safety choices are difficult","Match the control to the assessed risk while preserving dignity and choice as much as possible",D,"Least restrictive practice requires a resident-specific response that reduces risk without unnecessary loss of movement, privacy, or dignity.",foundational,"Managing Alzheimer's Disease and Related Dementias"
RCFE-CETP-003,RCFE-CETP-003_Q005,"A staff handoff says only, 'Watch Resident A closely after lunch.' What is the main weakness?",multichoice,"The instruction should be kept verbal instead of written","The instruction lacks specific timing, cueing, risk signs, and reporting expectations","The instruction gives too much resident-specific detail","The instruction should focus only on the family contact",B,"A usable handoff gives staff concrete actions, observation windows, and escalation triggers; vague wording is hard to apply consistently across shifts.",foundational,"Managing Alzheimer's Disease and Related Dementias"
RCFE-CETP-003,RCFE-CETP-003_Q006,"Which documentation detail is most useful after a resident approaches a service corridor?",multichoice,"Time, observed action, immediate response, environmental control, and follow-up plan","The fact that the resident has dementia, with no event details","A general statement that the issue was handled","The staff member's opinion that the resident was difficult",A,"Objective facts and linked follow-up allow the administrator and next shift to understand what happened and what control must continue.",foundational,"Managing Alzheimer's Disease and Related Dementias"
RCFE-CETP-003,RCFE-CETP-003_Q007,"Why should hydration and nutrition be reviewed when pacing or exit-seeking increases?",multichoice,"Because residents should never walk after meals","Because family members are responsible for all intake concerns","Because documentation is unnecessary if fluids are offered","Because skipped meals, thirst, fatigue, or discomfort may contribute to distress and unsafe movement",D,"Daily needs can drive behavior; intake review helps staff address possible unmet needs rather than responding only to visible movement.",foundational,"Managing Alzheimer's Disease and Related Dementias"
RCFE-CETP-003,RCFE-CETP-003_Q008,"Which activity plan is most consistent with resident-centered dementia safety?",multichoice,"Cancel all afternoon activity for residents who pace","Tell residents they may participate only when they stop repeating questions","Offer meaningful, ability-matched routines such as a supervised walk or familiar task during known restless periods","Use the same group task for every resident regardless of history",C,"Meaningful activity can reduce distress when it reflects the resident's abilities, preferences, history, stamina, and time-of-day pattern.",foundational,"Managing Alzheimer's Disease and Related Dementias"
RCFE-CETP-003,RCFE-CETP-003_Q009,"What should an administrator consider when reviewing sleep-related wandering risk?",multichoice,"Only whether the resident slept at least eight hours","Whether all evening activities should be discontinued permanently","Whether nighttime lighting, noise, bathroom access, evening routine, and staff approach may affect wakefulness","Only whether the resident's family visited that day",C,"Sleep-related risk can be affected by environment, routine, toileting needs, and staff response; review should look beyond a single sleep total.",foundational,"Managing Alzheimer's Disease and Related Dementias"
RCFE-CETP-003,RCFE-CETP-003_Q010,"What is the best reason to use fictional resident scenarios in this Moodle course?",multichoice,"They eliminate the need for learner assessment","They allow learners to ignore facility documentation standards","They prove the course has been approved by CDSS/ACS","They support realistic practice without exposing resident, staff, facility, or protected information",D,"Fictional scenarios let learners practice judgment while respecting privacy and avoiding disclosure of real protected or identifying information.",foundational,"Managing Alzheimer's Disease and Related Dementias"
RCFE-CETP-003,RCFE-CETP-003_Q011,"Which family communication approach fits the course standard?",multichoice,"Share objective observations, actions being tried, follow-up plans, and requests for routine or preference information through authorized channels","Promise the family the resident will not approach an exit again","Ask the family to stop discussing familiar life history with the resident","Avoid family communication whenever dementia safety is involved",A,"Family communication should be factual, bounded, and useful for plan updates without guarantees or unnecessary private details.",foundational,"Managing Alzheimer's Disease and Related Dementias"
RCFE-CETP-003,RCFE-CETP-003_Q012,"Which Moodle evidence item supports completion review for a scenario interaction?",multichoice,"A private note kept outside the course with no timestamp","H5P or Lesson attempt data showing branch choice, completion status, remediation when applicable, and timestamp","A course marketing flyer","A verbal statement that the learner probably completed it",B,"Scenario evidence should be retained in Moodle so completion can be tied to learner identity, attempt activity, feedback, and timing.",foundational,"Managing Alzheimer's Disease and Related Dementias"
RCFE-CETP-003,RCFE-CETP-003_Q013,"An administrator finds glare on a hallway floor that several residents avoid. What action best applies the course content?",multichoice,"Tell residents the floor is dry and expect them to continue walking","Document that residents are refusing to use the hallway","Close the hallway permanently without reviewing alternatives","Adjust lighting or surface conditions, monitor resident response, and update staff awareness if the route is important",D,"Visual misperception can increase anxiety or fall risk; correcting the environmental cue and monitoring response is more useful than blaming residents.",application,"Managing Alzheimer's Disease and Related Dementias"
RCFE-CETP-003,RCFE-CETP-003_Q014,"A resident becomes restless before dinner and repeatedly asks to go home. Which staff instruction is most useful?",multichoice,"Ignore the request unless the resident reaches a door","Use a calm validation approach, offer a familiar pre-dinner routine, monitor intake, and report repeated exit-door attempts","Tell the resident that home no longer exists","Document only if the resident becomes physically aggressive",B,"Specific staff instructions should connect communication approach, routine support, monitoring, and reporting criteria for the known risk period.",application,"Managing Alzheimer's Disease and Related Dementias"
RCFE-CETP-003,RCFE-CETP-003_Q015,"Which note revision best improves the statement, 'Resident wandered all afternoon'?",multichoice,"Resident was noncompliant with the activity schedule and needed repeated control","Resident is a dementia resident and this is expected","From 1:20 p.m. to 2:05 p.m., Resident A walked between the lounge and lobby, asked for work twice, accepted fluids once, and calmed during a supervised hallway walk","Resident wandered but staff handled it",C,"The revised note gives time, location, resident words, response, and intervention, which are needed for pattern review and plan updates.",application,"Managing Alzheimer's Disease and Related Dementias"
RCFE-CETP-003,RCFE-CETP-003_Q016,"When should a dementia-related safety pattern trigger leadership or care-coordination review?",multichoice,"When repeated unsafe events, sudden changes, injuries, significant intake concerns, or unresolved staff follow-through problems appear","Only after a licensing visit occurs","Only if the resident's family requests a formal meeting","Never, because dementia symptoms are expected",A,"Escalation is needed when patterns suggest increased risk, possible change in condition, or system follow-through concerns beyond routine correction.",application,"Managing Alzheimer's Disease and Related Dementias"
RCFE-CETP-003,RCFE-CETP-003_Q017,"Which plan instruction is strongest for a resident who paces after lunch?",multichoice,"Monitor as needed","Prevent hallway access after meals","Offer a supervised post-lunch walk at 1:00 p.m., cue fluids before and after, and document exit-door approaches during the 1:00 p.m. to 3:00 p.m. window","Tell family the resident refuses afternoon care",C,"The instruction provides timing, intervention, hydration support, and documentation criteria tied to the observed pattern.",application,"Managing Alzheimer's Disease and Related Dementias"
RCFE-CETP-003,RCFE-CETP-003_Q018,"A staff member says warning signs are enough to keep residents away from a service area. How should the administrator respond?",multichoice,"Explain that signs may not be meaningful to residents with dementia and require physical securing, staff checks, and documentation of the control","Accept the signs if they are printed in large font","Remove all signs because they never help anyone","Ask residents to sign a statement that they understand the warning",A,"Written signs may support some residents but cannot replace securing hazards and verifying staff follow-through when judgment or comprehension is impaired.",application,"Managing Alzheimer's Disease and Related Dementias"
RCFE-CETP-003,RCFE-CETP-003_Q019,"Which action best protects privacy in the documentation assignment for this course?",multichoice,"Use a real event but remove only the resident's last name","Use real medication details because they make the case more realistic","Ask learners to upload facility incident reports for comparison","Require fictional facts and prohibit real resident, staff, facility, or protected information",D,"The assignment must use fictional facts so learners can practice documentation without disclosing protected or identifying information.",application,"Managing Alzheimer's Disease and Related Dementias"
RCFE-CETP-003,RCFE-CETP-003_Q020,"A resident misses fluids during afternoon activities. What should the administrator review before updating staff instructions?",multichoice,"Only whether the resident likes the activity leader","Activity timing, cueing approach, resident preferences, swallowing or assistance needs within scope, intake documentation, and follow-up reporting","Only whether the family brought preferred drinks","Whether the resident can be removed from activities for the week",B,"Hydration support should examine routine, cueing, preferences, assistance needs, documentation, and reporting rather than a single personal preference.",application,"Managing Alzheimer's Disease and Related Dementias"
RCFE-CETP-003,RCFE-CETP-003_Q021,"What makes a corrective action complete after an environmental hazard is found?",multichoice,"It identifies the hazard, immediate control, responsible owner, staff communication, documentation, and follow-up check","It states that staff should be more careful","It waits for the next scheduled audit even if risk is active","It focuses on whether a resident caused the concern",A,"Corrective action is complete when it closes the loop from risk recognition to assigned follow-up and staff communication.",application,"Managing Alzheimer's Disease and Related Dementias"
RCFE-CETP-003,RCFE-CETP-003_Q022,"Which evaluation question would best help improve this course?",multichoice,"Did the course guarantee no future dementia-related safety events?","Did the course replace all facility policies?","Did the course provide enough entertainment value?","Did the scenarios help you practice environmental review, routine-based intervention, and objective documentation?",D,"Course evaluation should measure whether learning activities supported the stated dementia safety and documentation objectives.",application,"Managing Alzheimer's Disease and Related Dementias"
RCFE-CETP-003,RCFE-CETP-003_Q023,"A staff note includes, 'Resident is always trying to escape.' What is the best administrator coaching point?",multichoice,"Keep the phrase because it clearly warns staff","Replace judgmental wording with objective facts such as time, location, words spoken, action taken, and response","Remove all references to exit doors from the chart","Use stronger language so staff understand the risk",B,"Documentation should describe observed behavior and response without labels that may undermine dignity or obscure the reason for the behavior.",application,"Managing Alzheimer's Disease and Related Dementias"
RCFE-CETP-003,RCFE-CETP-003_Q024,"Why should the completion gate remain blocked while approval metadata is missing?",multichoice,"Because learners cannot view course pages before approval review","Because scenario activities do not generate evidence","Because certificate release requires required completion evidence and approval-related metadata to be satisfied","Because question banks are optional in Moodle",C,"The course may track learning activity, but certificate release must wait for the required evidence and approval metadata controls.",application,"Managing Alzheimer's Disease and Related Dementias"
RCFE-CETP-003,RCFE-CETP-003_Q025,"Scenario: Resident A walks toward a supply corridor after lunch on three consecutive days. Which administrator question best guides review?",multichoice,"Which staff member can be blamed for allowing walking?","What pattern connects lunch intake, hydration, activity, environment, and time of day?","How can all walking be stopped immediately?","Can the event be ignored because no injury occurred?",B,"A pattern question helps connect unmet needs, routine timing, and environmental risk so the plan can be updated appropriately.",scenario,"Managing Alzheimer's Disease and Related Dementias"
RCFE-CETP-003,RCFE-CETP-003_Q026,"Scenario: The activity room is loud, and a resident becomes anxious and exits repeatedly. What response is most consistent with this course?",multichoice,"Tell the resident to stay seated until the activity ends","Discontinue all activities for that resident permanently","Offer a calmer activity option or adjusted setting, document response, and update staff instructions if the pattern continues","Ignore the noise because group activities are scheduled",C,"Adapting the activity environment respects participation while addressing a trigger that may contribute to unsafe movement.",scenario,"Managing Alzheimer's Disease and Related Dementias"
RCFE-CETP-003,RCFE-CETP-003_Q027,"Scenario: A family member says the resident used to walk outdoors every afternoon. How should the administrator use that information?",multichoice,"Treat it as a useful preference cue when considering supervised walking, activity timing, and post-lunch routine supports","Tell family history is not relevant to facility safety","Use it to guarantee the resident will stop exit-seeking","Document that the family caused the resident's walking behavior",A,"Life history can guide individualized routines that reduce distress and support safer movement when paired with supervision and documentation.",scenario,"Managing Alzheimer's Disease and Related Dementias"
RCFE-CETP-003,RCFE-CETP-003_Q028,"Scenario: A staff member secured a storage door after a resident approached it but did not document anything. What is missing?",multichoice,"A public notice to all families about the event","A diagnosis update entered by the administrator","A promise that the resident will never approach the area again","Evidence of the observed condition, immediate action, staff communication, and follow-up responsibility",D,"Without documentation, the team cannot verify what happened, why the control changed, or who must confirm continued safety.",scenario,"Managing Alzheimer's Disease and Related Dementias"
RCFE-CETP-003,RCFE-CETP-003_Q029,"Scenario: Resident A skips dinner and later pulls twice on an exit door. Which documentation entry is strongest?",multichoice,"Resident was difficult again and tried to leave","Resident has dementia and exit-seeking is normal","Resident was redirected; no further details needed","At 7:15 p.m., Resident A pulled the exit-door handle twice after eating less than half of dinner; staff used a calm approach, offered fluids, escorted Resident A to a quieter area, and notified the lead for plan review",D,"The strongest entry connects objective facts, intake concern, response, resident support, and escalation for plan review.",scenario,"Managing Alzheimer's Disease and Related Dementias"
RCFE-CETP-003,RCFE-CETP-003_Q030,"Scenario: A learner's assignment draft includes a real room number and family name. What should happen?",multichoice,"The learner should revise the submission using fictional details before completion is accepted","The instructor should keep it if the resident name is omitted","The class should discuss it because it is realistic","The detail should be moved to the forum instead",A,"Course activities must not contain real identifying information; revision protects privacy while preserving the learning task.",scenario,"Managing Alzheimer's Disease and Related Dementias"
RCFE-CETP-003,RCFE-CETP-003_Q031,"Scenario: A resident appears calmer after a supervised walk but staff do not add it to handoff. What should the administrator do?",multichoice,"Assume staff will remember because the intervention worked","Tell the resident to request walks independently","Add the effective routine to staff instructions, define when to offer it, and monitor whether it reduces the risk pattern","Stop reviewing the issue because the resident calmed once",C,"An effective intervention should be translated into clear handoff instructions and monitored across shifts for consistency.",scenario,"Managing Alzheimer's Disease and Related Dementias"
RCFE-CETP-003,RCFE-CETP-003_Q032,"Scenario: A resident becomes more restless after a family phone call. Which response is most appropriate?",multichoice,"Tell the family to stop calling","Review the transition pattern, offer a calming routine after calls, document response, and communicate through authorized channels as needed","Document only if the resident reaches an exit","Ignore the timing because emotions are not part of safety review",B,"A known transition trigger can be addressed with routine support and documentation while maintaining appropriate family communication boundaries.",scenario,"Managing Alzheimer's Disease and Related Dementias"
RCFE-CETP-003,RCFE-CETP-003_Q033,"Scenario: The evening shift reports poor sleep, but the plan only addresses daytime wandering. What update is most useful?",multichoice,"Remove daytime walking opportunities","Tell staff that sleep issues are separate from safety","Add nighttime lighting, bathroom access, noise reduction, staff approach, and reporting instructions to the review","Wait until the resident has an injury",C,"Sleep patterns can affect nighttime movement and distress; plan review should include environmental and routine supports after dark.",scenario,"Managing Alzheimer's Disease and Related Dementias"
RCFE-CETP-003,RCFE-CETP-003_Q034,"Scenario: A resident repeatedly searches for the bathroom and becomes upset in a hallway with identical doors. What is the best environmental adjustment?",multichoice,"Tell staff to correct the resident each time","Add meaningful bathroom cues, improve contrast or signage, and monitor whether searching decreases","Close the hallway to all residents","Document that the resident is attention-seeking",B,"Clear cues and contrast can reduce disorientation and distress while preserving dignity and movement.",scenario,"Managing Alzheimer's Disease and Related Dementias"
RCFE-CETP-003,RCFE-CETP-003_Q035,"Scenario: Staff disagree about whether a resident's pacing is boredom or exit-seeking. What administrator action best resolves the uncertainty?",multichoice,"Choose the most serious label and use it permanently","Tell staff not to chart until they agree","Ask family to decide the facility's safety classification","Collect objective observations across times, triggers, resident words, intake, sleep, and response to interventions",D,"Objective pattern collection helps the team understand risk without relying on unsupported labels.",scenario,"Managing Alzheimer's Disease and Related Dementias"
RCFE-CETP-003,RCFE-CETP-003_Q036,"Scenario: A learner completes pages and scenarios but fails the post-test. What does the completion gate require?",multichoice,"Completion remains incomplete until the post-test is passed according to the configured standard and any remediation policy","Completion may be granted because the learner spent time in the course","The quiz can be deleted from the evidence record","A certificate can be released if the assignment was strong",A,"Post-test pass status is a required completion element and must be retained with the course evidence.",scenario,"Managing Alzheimer's Disease and Related Dementias"
RCFE-CETP-003,RCFE-CETP-003_Q037,"Scenario: A staff member wants to remove all personal items from a resident's room after one clutter concern. What should the administrator consider?",multichoice,"Whether removal is easiest for staff inventory","Whether a targeted clutter reduction can address the hazard while preserving familiar cues and resident dignity","Whether family can be told the resident requested it","Whether documentation can be skipped if housekeeping agrees",B,"Safety controls should be proportional; familiar items may support orientation, so the hazard should be addressed without unnecessary loss.",scenario,"Managing Alzheimer's Disease and Related Dementias"
RCFE-CETP-003,RCFE-CETP-003_Q038,"Scenario: A resident accepts fluids only when offered in a quiet area after activity. What plan update is strongest?",multichoice,"Offer fluids somewhere in the building when staff have time","Record that the resident refuses hydration","Stop offering fluids during afternoon programming","Offer preferred fluids in a quiet area after activity, document amount accepted, and report low intake according to the plan",D,"The update names the cueing condition that works, preserves intake evidence, and defines reporting for continued concern.",scenario,"Managing Alzheimer's Disease and Related Dementias"
RCFE-CETP-003,RCFE-CETP-003_Q039,"Scenario: A service corridor door is repeatedly left ajar during restocking. What follow-up shows system correction?",multichoice,"Assign restocking door checks, communicate the process to affected staff, and review shift logs to verify the door remains secured","Tell residents not to enter the corridor","Wait for maintenance to decide whether the door matters","Mention it once at a meeting without documentation",A,"Repeated access failure requires an owner, staff communication, and evidence that the new process is being followed.",scenario,"Managing Alzheimer's Disease and Related Dementias"
RCFE-CETP-003,RCFE-CETP-003_Q040,"Scenario: The administrator must brief staff after a week of pacing, low afternoon fluids, and noisy evening distress. What briefing is most complete?",multichoice,"Tell staff the resident is declining and should be watched","Tell staff to keep the resident away from group areas","Review the observed pattern, individualized routine supports, environmental controls, documentation expectations, and escalation triggers","Ask each shift to handle the resident in its own way",C,"A complete briefing turns the pattern into consistent staff action and documentation expectations across shifts.",scenario,"Managing Alzheimer's Disease and Related Dementias"
