unit_id,question_name,question_text,question_type,answer_a,answer_b,answer_c,answer_d,correct_answer,rationale,difficulty,source_backbone
"U02","U02_Q01_source_backbone","Which source backbone maps to U02 - Vital Signs II: Reporting and Abnormal Findings?","multichoice","Module 10 - Vital Signs","Module 11 - Nutrition","Module 15 - Observation and Charting only","A copied official form packet","A","U02 is built from Module 10 - Vital Signs and focuses on pulse, respirations, abnormal breathing, combined TPR, blood pressure, pain observations, charting, and reporting.","easy","Module 10 - Vital Signs"
"U02","U02_Q02_breathing_distress_priority","Resident B returns from the bathroom with pulse 112, respirations 26 and labored, bluish lips, and states, 'I cannot catch my breath.' What is the best CNA action?","multichoice","Finish routine charting first because the resident just walked.","Stay with the resident as safe, notify the licensed nurse or emergency chain immediately, and report the measured facts and resident statement.","Tell the resident it is probably anxiety and wait for the breathing to slow.","Enter the resident's real name and room number into the Moodle reflection.","B","Labored respirations, cyanosis, tachycardia, and a shortness-of-breath statement require prompt reporting and safety support within CNA scope; real PHI is never entered into Moodle.","medium","Module 10 - Vital Signs"
"U02","U02_Q03_pulse_scope_boundary","While checking an assigned pulse, a CNA notices the rhythm feels newly irregular and the resident says, 'I feel dizzy.' Which response is outside CNA scope?","multichoice","Stay with the resident as safe and report the pulse finding and dizziness promptly.","Document objective facts according to facility policy after notifying the nurse.","Diagnose the rhythm problem, decide a medication is needed, and delay reporting until the end of shift.","Follow care-plan safety measures while waiting for licensed direction.","C","CNAs report measured pulse findings, symptoms, and safety concerns; they do not diagnose arrhythmias, make medication decisions, or delay reporting of dizziness with a new irregular pulse.","medium","Module 10 - Vital Signs"
"U02","U02_Q04_objective_vitals_charting","Which charting example is most objective for the Resident B scenario?","multichoice","Resident was dramatic and breathing weird after the bathroom.","Resident probably had a heart attack and needed oxygen.","Family stress caused the resident's breathing problem.","0910: Resident returned from bathroom, pulse 112, respirations 26 and labored, stated 'I cannot catch my breath,' lips appeared slightly bluish; nurse notified.","D","Objective charting includes time, activity context, measured values, resident words, observed color and effort, and notification without diagnosis or blame.","medium","Module 10 - Vital Signs"
"U02","U02_Q05_dyspnea_term","In this unit, what does dyspnea mean?","multichoice","A normal blood-pressure reading after rest","Difficult or labored breathing","A certificate approval number","A copied vital-sign form","B","Dyspnea is difficult or labored breathing, a reportable observation when seen or reported by a resident.","easy","Module 10 - Vital Signs"
"U02","U02_Q06_blood_pressure_judgment","A resident's blood pressure is much higher than the usual pattern after rest, and the resident reports a severe headache and blurred vision. What should the CNA do?","multichoice","Ignore the reading because blood pressure changes throughout the day.","Tell the resident they are having a stroke.","Report the reading, timing, position/context, symptoms, and resident statement promptly to the licensed nurse according to policy.","Post the numbers in an online course discussion to ask classmates what they mean.","C","Unusual blood pressure paired with headache and blurred vision is reportable. The CNA provides context and facts to licensed staff without diagnosing or sharing PHI online.","hard","Module 10 - Vital Signs"
"U02","U02_Q07_respiration_counting","Why do CNAs often count respirations quietly after taking a pulse, according to facility policy?","multichoice","Because respirations never need to be reported.","Because counting respirations is only for licensed nurses.","Because calling attention to breathing can change the resident's breathing pattern and make the count less accurate.","Because the CNA should estimate respirations instead of observing them.","C","Respirations are often observed discreetly because awareness can alter breathing. The CNA still reports abnormal rate, rhythm, depth, effort, sounds, color, or resident statements.","easy","Module 10 - Vital Signs"
"U02","U02_Q08_pain_tpr_report","A resident reports chest tightness as 7/10, pulse is 104, respirations are 24, and skin appears pale. Which report is best?","multichoice","Resident is probably just seeking attention and should be left alone.","Resident has a diagnosis that the CNA identified from the vital signs.","No report is needed until the next scheduled charting time.","Resident reports chest tightness 7/10; pulse 104; respirations 24; skin appears pale; nurse notified immediately.","D","Pain can affect vital signs and may signal urgent change. The best CNA report includes the pain rating, pulse, respirations, color observation, and immediate notification without diagnosis.","medium","Module 10 - Vital Signs"
"U02","U02_Q09_report_before_chart","A resident has labored respirations and bluish lips. What is the safest sequence for the CNA?","multichoice","Notify the licensed nurse or emergency chain immediately, support safety within the care plan, then document objective facts according to policy.","Complete all routine documentation before telling anyone.","Wait to see whether the next shift notices the same signs.","Chart that the resident had pneumonia because the breathing looked abnormal.","A","Urgent respiratory findings require immediate reporting before routine charting. Documentation follows and must remain factual and within CNA scope.","medium","Module 10 - Vital Signs"
"U02","U02_Q10_certificate_gate","Which statement about U02 completion and certificates is compliance-safe while the course is Draft / Pending CDPH Approval?","multichoice","Passing the U02 quiz alone releases a certificate immediately.","Certificate release remains blocked until required unit evidence, assessment gates, identity/no-PHI attestations, approval metadata, and administrative approval-status gates are satisfied.","Clinical or simulation hours are awarded after the U02 scenario.","Learners should upload real facility vital-sign sheets as proof of participation.","B","U02 is online CE only. Certificates must remain unavailable until all Moodle evidence and approval-status requirements are satisfied; real forms, PHI, clinical hours, and simulation claims are excluded.","easy","Module 10 - Vital Signs"
