course_id,question_name,question_text,question_type,answer_a,answer_b,answer_c,answer_d,correct_answer,rationale,difficulty,core_category
RCFE-CETP-004,RCFE-CETP-004_Q001,"Resident A reports that staff discussed a private care concern in the hallway and discouraged council discussion. What response should the administrator take?",multichoice,"Meet privately with Resident A, document the report objectively, protect council access, coach staff on privacy, and add non-retaliation follow-up.","Tell Resident A to wait until the next family visit before raising the concern.","Ask the staff member to apologize publicly during the next meal service.","Promise a disciplinary result before reviewing the facts.",A,"The correct response protects privacy and council access while creating an objective record and follow-up trail without promising an unsupported outcome.",scenario,"Residents' Rights"
RCFE-CETP-004,RCFE-CETP-004_Q002,"A resident says, ""Staff told me not to bring complaints to council because it makes everyone look bad."" What is the strongest rights-focused response?",multichoice,"Remind the resident that council meetings are optional and end the conversation.","Tell staff to avoid the resident until the next scheduled meeting.","Explain complaint and council options, document the concern, coach staff on non-retaliation, and verify follow-up.","Remove the topic from the council agenda so conflict does not occur.",C,"The response preserves the resident's ability to speak, addresses staff conduct, and creates evidence that retaliation risk was managed.",scenario,"Residents' Rights"
RCFE-CETP-004,RCFE-CETP-004_Q003,"Which documentation entry is most appropriate after a resident reports a privacy concern during personal care?",multichoice,"Resident was upset again and staff probably did not mean anything by it.","Resident reported door opened during care at 7:40 a.m.; privacy reviewed with assigned staff; follow-up check scheduled.","Complaint handled; no additional details needed.","Resident should stop exaggerating hallway issues.",B,"Objective entries identify reported facts, action taken, and follow-up without judgmental labels or unsupported conclusions.",application,"Residents' Rights"
RCFE-CETP-004,RCFE-CETP-004_Q004,"What non-retaliation safeguard should be included after a resident raises a dignity complaint?",multichoice,"Tell the resident not to discuss the concern with peers.","Move the resident's preferred activity until staff are comfortable.","Wait for another complaint before documenting anything.","Monitor staff interactions, remind staff that complaints must not affect care, and check back with the resident.",D,"A non-retaliation safeguard must protect the resident after speaking up and provide a way to verify that treatment did not worsen.",application,"Residents' Rights"
RCFE-CETP-004,RCFE-CETP-004_Q005,"A supervisor reports that Resident B described rough assistance and being told not to tell family. What should the administrator prioritize?",multichoice,"Ask the supervisor to handle it informally because family is not present.","Delay review until the staff member's next scheduled supervision meeting.","Check resident safety and privacy, preserve objective facts, follow escalation or reporting pathways, and protect against retaliation.","Tell Resident B that a witness is required before the facility can act.",C,"The scenario includes possible abuse-prevention and intimidation concerns that require prompt protection, documentation, and escalation analysis.",scenario,"Residents' Rights"
RCFE-CETP-004,RCFE-CETP-004_Q006,"What administrator practice helps make resident council access meaningful rather than symbolic?",multichoice,"Provide a clear pathway for concerns, avoid discouraging participation, document issues raised, and track follow-up.","Allow councils only when no complaints are expected.","Ask staff to screen out topics that could reflect poorly on the facility.","Treat council comments as informal and outside the record.",A,"Council access is meaningful when concerns can be raised without pressure and when follow-up is documented.",application,"Residents' Rights"
RCFE-CETP-004,RCFE-CETP-004_Q007,"Resident B reports missing personal cash along with intimidation by a staff member. Which response creates the least defensible record?",multichoice,"Document the report using fictional identifiers in training.","Notify or escalate through the facility pathway as required by policy.","Protect the resident from retaliation during the review.","Ask the staff member to privately replace the cash and keep the issue out of the record.",D,"An informal private settlement can hide possible exploitation or intimidation and leaves the facility without a defensible review trail.",scenario,"Residents' Rights"
RCFE-CETP-004,RCFE-CETP-004_Q008,"In this course, dignity in daily RCFE practice is best described as:",multichoice,"A courtesy that applies only when staff have enough time.","Respectful communication, privacy, meaningful choice, and response to concerns without ridicule or punishment.","A customer-service slogan unrelated to documentation.","A topic that only applies during admission.",B,"Dignity is operational: it appears in communication, privacy habits, choice, complaint response, and documentation.",foundational,"Residents' Rights"
RCFE-CETP-004,RCFE-CETP-004_Q009,"When may the course completion process support certificate release?",multichoice,"After the learner opens the first page and signs the attendance sheet.","Only after required duration, activities, post-test, evaluation if required, approval metadata, and evidence gates are satisfied.","Whenever the instructor verbally confirms attendance.","Before approval metadata is available if the learner passed the quiz.",B,"Certificate release depends on all course evidence and approval controls, not only attendance or quiz score.",application,"Residents' Rights"
RCFE-CETP-004,RCFE-CETP-004_Q010,"Staff are overheard discussing a resident's shower assistance near the dining area. What administrator response aligns with the course?",multichoice,"Ignore it if the resident did not hear the discussion.","Ask residents nearby whether they want to join the conversation.","Post a public reminder naming the staff involved.","Stop the privacy breach, coach staff to discuss care privately, document the concern, and monitor for recurrence.",D,"The response stops the breach, corrects staff practice, and creates follow-up without spreading private information further.",scenario,"Residents' Rights"
