course_id,question_name,question_text,question_type,answer_a,answer_b,answer_c,answer_d,correct_answer,rationale,difficulty,core_category
RCFE-CETP-008,RCFE-CETP-008_Q001,"What is the main supervision value of clear written shift assignments?",multichoice,"They help staff understand duties, coverage priorities, and who to notify when a barrier appears.","They eliminate the need for administrator follow-up.","They allow staff to ignore training records when shifts are busy.","They prove the facility has regulatory approval for the course.",A,"Clear written assignments support role clarity and communication; they do not replace follow-up, training verification, or approval metadata.",foundational,"Management/Supervision of Staff"
RCFE-CETP-008,RCFE-CETP-008_Q002,"Which training-record element most helps an administrator connect staff readiness to assigned duties?",multichoice,"A general note that the staff member was trained sometime in the past.","A dated topic entry tied to the staff role, method of instruction, and any follow-up required.","A verbal reminder with no record because the task is routine.","A copy of an unrelated course flyer.",B,"A dated role-related training entry gives the administrator a traceable basis for assigning duties and planning follow-up.",foundational,"Management/Supervision of Staff"
RCFE-CETP-008,RCFE-CETP-008_Q003,"What should an administrator review when the same shift duty is repeatedly missed?",multichoice,"Only whether the caregiver intended to miss the task.","Whether the task can be removed from all records.","Role clarity, assignment method, training readiness, staffing pattern, and follow-up controls.","Whether the issue can wait until the next licensing visit.",C,"Repeated missed duties may signal a supervision-system gap, so the review should include assignments, training, staffing, and follow-up.",application,"Management/Supervision of Staff"
RCFE-CETP-008,RCFE-CETP-008_Q004,"Which statement best describes administrator accountability for staff supervision?",multichoice,"The administrator is accountable only when personally present during a shift.","Accountability ends once staff receive orientation.","Informal reminders are enough if staff are experienced.","The administrator sets expectations, monitors follow-through, corrects gaps, and keeps records that support continuity.",D,"Administrator accountability includes active oversight and documentation, not merely personal presence or one-time orientation.",foundational,"Management/Supervision of Staff"
RCFE-CETP-008,RCFE-CETP-008_Q005,"A fictional evening shift misses dining-room coverage because two caregivers thought the other person was assigned. What response most directly corrects the supervision gap?",multichoice,"Clarify coverage immediately, review the assignment tool, confirm related training, and document a follow-up check.","Tell both caregivers that they should have known better without changing the assignment process.","Delete the shift note because no real resident name was used.","Wait to address the issue until it happens a third time.",A,"The scenario points to unclear role assignment, so the administrator should correct the immediate gap and strengthen the assignment and training controls.",scenario,"Management/Supervision of Staff"
RCFE-CETP-008,RCFE-CETP-008_Q006,"A fictional caregiver says a handoff checklist is not important because care tasks were completed. What is the best coaching response?",multichoice,"Stop using the checklist for that caregiver only.","Privately explain the checklist purpose, review the expectation, identify barriers, document coaching, and set follow-up.","Post a warning about the caregiver on a staff bulletin board.","Ignore the comment because direct care matters more than records.",B,"Private, objective coaching connects the checklist to shift communication and creates a fair follow-up record.",scenario,"Management/Supervision of Staff"
RCFE-CETP-008,RCFE-CETP-008_Q007,"A fictional shift lead gives verbal assignments but never updates the written assignment sheet. What should the administrator do first in the supervision review?",multichoice,"Assume verbal direction is enough if staff seem busy.","Remove assignment sheets from the workflow.","Compare verbal practice with the written process, clarify the expected tool, and document the correction.","Tell staff to vote on which assignment method they prefer for the day.",C,"A mismatch between verbal practice and written tools creates role confusion; the administrator should align the process and record the correction.",scenario,"Management/Supervision of Staff"
RCFE-CETP-008,RCFE-CETP-008_Q008,"During a fictional record audit, a staff member is assigned a task but has no role-specific training entry for that duty. Which administrator action is most appropriate?",multichoice,"Assume prior experience is enough and keep assigning the task without review.","Ask the staff member to create a backdated record.","Ignore the gap because the duty is common.","Verify training needs, provide or document appropriate training, and review whether the assignment should continue during the gap.",D,"The administrator should connect assignments to documented readiness and avoid backdating or ignoring training-record gaps.",scenario,"Management/Supervision of Staff"
RCFE-CETP-008,RCFE-CETP-008_Q009,"A fictional caregiver misses the same documentation step twice after reminders. Which coaching record is strongest?",multichoice,"An objective note stating the observed misses, expectation reviewed, support offered, staff response if relevant, and follow-up date.","A note saying the caregiver has a bad attitude.","No note because reminders were already given.","A promise that the problem will never occur again.",A,"A strong coaching record uses objective facts, the expected standard, support, and follow-up rather than opinions or guarantees.",scenario,"Management/Supervision of Staff"
RCFE-CETP-008,RCFE-CETP-008_Q010,"A fictional staffing pattern leaves one role unclear every weekend. What should the administrator avoid?",multichoice,"Reviewing weekend assignments for recurring gaps.","Treating each event as unrelated without reviewing the staffing pattern or assignment process.","Checking whether training and handoff tools support the weekend duties.","Setting a follow-up audit after clarifying the role.",B,"Recurring weekend ambiguity suggests a pattern; treating each event as isolated prevents correction of the supervision system.",scenario,"Management/Supervision of Staff"
