course_id,question_name,question_text,question_type,answer_a,answer_b,answer_c,answer_d,correct_answer,rationale,difficulty,core_category
RCFE-CETP-006,RCFE-CETP-006_Q001,"Before an RCFE admission date is confirmed, why should the administrator review appraisal information, physician documentation, and facility capability together?",multichoice,"The combined review shows whether identified needs can be matched with documented services before move-in.","It allows the facility to delay all records until after the resident arrives.","It replaces the need to communicate with the resident or responsible person.","It proves that every future change in condition can be managed without review.",A,"Admission decisions should be based on connected evidence showing resident needs, service capacity, and unresolved items before the facility accepts responsibility.",foundational,"Resident Admission, Retention, and Assessment Procedures"
RCFE-CETP-006,RCFE-CETP-006_Q002,"What does source control mean during admission screening?",multichoice,"Using only verbal family statements because they are easiest to collect.","Separating what was reported, observed, documented, and still pending so the record remains clear.","Discarding informal notes once the admission agreement is signed.","Treating every document as current even when dates or signatures are missing.",B,"Source control helps the administrator distinguish reliable records from pending or secondhand information during admission review.",foundational,"Resident Admission, Retention, and Assessment Procedures"
RCFE-CETP-006,RCFE-CETP-006_Q003,"Which needs and services plan statement gives staff the clearest direction?",multichoice,"Assist the resident when staff think help may be useful.","Monitor the resident and keep everyone comfortable.","Offer a meal cue at lunch and dinner; notify the administrator after two meal refusals in seven days.","Provide good care and update the plan later if someone asks.",C,"A staff-ready instruction identifies the service, timing, observation point, and notification threshold instead of relying on vague judgment.",foundational,"Resident Admission, Retention, and Assessment Procedures"
RCFE-CETP-006,RCFE-CETP-006_Q004,"Which learner submission would violate the course privacy standard?",multichoice,"A fictional memo using Sample Resident A.","A general description of a pending physician report.","A role label such as responsible person or outside provider.","A real resident name paired with a real facility incident.",D,"Course activities must use fictional or de-identified learning examples and must not include real resident, facility, staff, or protected information.",foundational,"Resident Admission, Retention, and Assessment Procedures"
RCFE-CETP-006,RCFE-CETP-006_Q005,"Which factor belongs in a facility capability review before admission?",multichoice,"Whether staffing, environment, training, and procedures can support the assessed needs.","Whether the room should be filled quickly to avoid vacancy.","Whether the family prefers fewer questions before move-in.","Whether the resident seems pleasant during a brief tour.",A,"Capability review considers operational ability to deliver documented services across shifts, not convenience or general impressions.",foundational,"Resident Admission, Retention, and Assessment Procedures"
RCFE-CETP-006,RCFE-CETP-006_Q006,"What does Draft / Pending CDSS/ACS Approval status require in Moodle?",multichoice,"The course may issue certificates as soon as learners pass the post-test.","The course must remain labeled as pending and certificate release must stay blocked until approval metadata and evidence gates are satisfied.","The instructor may remove completion tracking while approval is pending.","The learner may count the course as approved credit before official metadata exists.",B,"Pending status requires clear labeling and certificate controls so Moodle does not imply approval or release credit prematurely.",foundational,"Resident Admission, Retention, and Assessment Procedures"
RCFE-CETP-006,RCFE-CETP-006_Q007,"Which documentation phrase best marks an unresolved admission item?",multichoice,"Everything appears fine.","Family says there are no concerns.","Physician report requested on the review date; admission decision remains pending until received and compared with appraisal findings.","No need to document this because it should arrive later.",C,"Pending items should be dated, named, and connected to the decision they affect so the admission record stays reviewable.",foundational,"Resident Admission, Retention, and Assessment Procedures"
RCFE-CETP-006,RCFE-CETP-006_Q008,"A responsible person disagrees with the facility's request for more pre-admission information. What is the best administrator response?",multichoice,"Accept the admission immediately to avoid conflict.","Tell staff to collect the information after move-in without recording the gap.","Ignore the disagreement because family communication is not part of admission screening.","Explain the needed information, document the pending item, and continue review through the approved process.",D,"Respectful communication and objective documentation help resolve admission gaps without bypassing required review.",foundational,"Resident Admission, Retention, and Assessment Procedures"
RCFE-CETP-006,RCFE-CETP-006_Q009,"Why should admission notes avoid personality labels?",multichoice,"Objective notes focus on observable facts, actions, notifications, pending items, and follow-up.","Personality labels are required for every admission record.","Labels make it easier to skip the needs and services plan.","Subjective wording eliminates the need for reappraisal.",A,"Objective language supports continuity, dignity, and compliance review because later readers can see facts rather than assumptions.",foundational,"Resident Admission, Retention, and Assessment Procedures"
RCFE-CETP-006,RCFE-CETP-006_Q010,"What does admission-agreement linkage require?",multichoice,"The admission agreement should be kept separate from assessed needs.","The services and expectations in the agreement should align with the facility's documented ability to meet assessed needs.","The agreement should promise that the resident's condition will not change.","The agreement can be completed before any appraisal-related information is reviewed.",B,"The admission agreement should not stand apart from appraisal findings and service capability; it should reflect a supportable admission decision.",foundational,"Resident Admission, Retention, and Assessment Procedures"
RCFE-CETP-006,RCFE-CETP-006_Q011,"Staff report that the current plan says only 'assist as needed' after repeated evening confusion. Which revision best improves the plan?",multichoice,"Continue using the same phrase because it gives staff flexibility.","Delete staff notes until the resident asks for more help.","Provide an evening orientation cue at 7 p.m.; document response; notify the administrator after three episodes in one week.","Tell family that staff will handle it without further review.",C,"The revised instruction links the observed pattern to a specific action, documentation expectation, and notification threshold.",application,"Resident Admission, Retention, and Assessment Procedures"
RCFE-CETP-006,RCFE-CETP-006_Q012,"A resident has two falls and new missed meals after admission. Which administrator action best reflects reappraisal discipline?",multichoice,"Wait for the annual review because the resident was already admitted.","Ask a caregiver to remember the concern without changing records.","Assume the family will call if the pattern becomes serious.","Review the record, identify the change pattern, update the plan if needed, and document follow-up.",D,"Repeated changes after admission should prompt record review and possible plan updates rather than informal monitoring alone.",application,"Resident Admission, Retention, and Assessment Procedures"
RCFE-CETP-006,RCFE-CETP-006_Q013,"A prospective resident declines to provide a requested document during screening. What should the administrator document?",multichoice,"The document requested, the refusal or delay, who was notified, the impact on admission review, and the next step.","Only that the resident was uncooperative.","Nothing, because declined documents cannot be mentioned.","A promise that admission will proceed regardless of missing information.",A,"A neutral note preserves dignity while explaining the missing record and its effect on the admission decision.",application,"Resident Admission, Retention, and Assessment Procedures"
RCFE-CETP-006,RCFE-CETP-006_Q014,"The physician report is received but conflicts with family statements about transfer assistance. What should happen before final admission approval?",multichoice,"Choose the version that makes admission easiest.","Clarify the conflict through approved channels, document the discrepancy, and compare the resolved information with facility capability.","Ignore the report because family statements are more recent.","Ask staff to solve the issue after move-in.",B,"Conflicting admission information must be resolved or clearly tracked before the facility relies on it for a fit decision.",application,"Resident Admission, Retention, and Assessment Procedures"
