unit_id,question_name,question_text,question_type,answer_a,answer_b,answer_c,answer_d,correct_answer,rationale,difficulty,source_backbone
"U05","U05_Q01_source","Which source backbone maps to U05 - Long Term Care Patient/Resident I: Resident-Centered Care?","multichoice","Module 13 - Long Term Care Patient/Resident","Module 10 - Vital Signs","Module 16 - Death and Dying","A copied government signer packet","A","U05 is built from Module 13 - Long Term Care Patient/Resident and focuses on resident-centered long-term care observations, needs, aging changes, immobility risks, and resources.","easy","Module 13 - Long Term Care Patient/Resident"
"U05","U05_Q02_baseline_scenario","Resident E usually attends morning activities and eats most of breakfast. This week the resident stays in bed, eats about 25 percent, moves slower, and has new tailbone redness. What is the best CNA action?","multichoice","Wait until the end of shift because older residents often slow down.","Compare to baseline, report the objective changes and skin concern to the nurse, and continue care-plan support.","Diagnose depression and a pressure injury in the chart.","Enter the resident's real name and room number into the Moodle reflection.","B","The CNA role is to compare current observations with the resident's usual pattern, report objective changes promptly, support the care plan, and avoid diagnosis or PHI entry.","medium","Module 13 - Long Term Care Patient/Resident"
"U05","U05_Q03_scope_aging","A resident who is usually alert becomes newly confused and needs more help transferring. Which response is outside CNA scope?","multichoice","Stay with the resident as safe and report the change to the licensed nurse.","Document factual observations using approved facility language.","Decide the resident has dementia or that the change is normal aging and do not report it.","Continue assigned care-plan safety measures while waiting for nurse direction.","C","New confusion and functional decline are reportable changes. CNAs do not diagnose dementia or dismiss changes as normal aging.","medium","Module 13 - Long Term Care Patient/Resident"
"U05","U05_Q04_objective_documentation","Which charting example is the most objective for the U05 scenario?","multichoice","Resident was lazy and refused to live normally today.","Resident probably has depression and a pressure sore.","Resident's family caused the resident to stop going to activities.","Resident stayed in bed for third morning, ate 25 percent of breakfast, moved slower than usual, stated 'I just don't feel up to people,' and new tailbone redness was reported to nurse.","D","Objective documentation includes observed facts, the resident's direct statement, comparison to usual pattern when known, the skin concern, and notification without labels or diagnosis.","medium","Module 13 - Long Term Care Patient/Resident"
"U05","U05_Q05_human_needs","Which CNA action best reflects resident-centered support for human needs?","multichoice","Offer privacy, preferred clothing choices, safe assistance, and notification when a resident's usual social activity and intake change.","Complete care as fast as possible without asking preferences.","Ignore recreational or spiritual preferences because only physical care matters.","Promise the resident any requested food or activity even when it conflicts with the care plan.","A","Resident-centered care supports physical, safety, psychosocial, recreational, and spiritual needs while staying within the care plan and reporting changes.","easy","Module 13 - Long Term Care Patient/Resident"
"U05","U05_Q06_immobility_risk","A resident has remained in bed most of the day for several days. Which finding is a priority immobility-related concern for the CNA to report?","multichoice","The resident prefers a blue sweater over a gray sweater.","A new reddened area over the tailbone with increased stiffness during repositioning.","The resident likes gardening programs in the morning.","The resident watched a television program after lunch.","B","New redness over a bony area and increased stiffness can signal immobility complications and should be reported while the CNA continues assigned prevention measures.","medium","Module 13 - Long Term Care Patient/Resident"
"U05","U05_Q07_sorting_diagnosis","In a U05 sorting activity, which item belongs in the category 'diagnosis or label to avoid in CNA documentation'?","multichoice","Resident states, 'I miss the garden group.'","Resident ate about 25 percent of breakfast.","Resident is depressed and noncompliant.","Tailbone redness observed during morning care.","C","Calling the resident depressed and noncompliant is a diagnosis/label. CNAs should document quotes and observations, then report concerns to licensed staff.","medium","Module 13 - Long Term Care Patient/Resident"
"U05","U05_Q08_resources","Resident E says, 'I miss my faith group and I do not want to eat alone.' Which response best connects the resident to appropriate resources within CNA scope?","multichoice","Tell the resident to stop complaining because the schedule is busy.","Arrange outside transportation independently without notifying the care team.","Post the request on social media to find volunteers.","Acknowledge the concern and report it to the nurse or appropriate team member so activities, social services, spiritual care, or approved community resources can be considered.","D","CNAs listen and report unmet psychosocial or spiritual needs through the approved care team pathway rather than independently arranging services or violating privacy.","medium","Module 13 - Long Term Care Patient/Resident"
"U05","U05_Q09_body_systems","During care, a resident becomes short of breath walking to the bathroom and you notice ankle swelling that is worse than the usual pattern. What is the best CNA response?","multichoice","Report the objective respiratory and circulation-related observations promptly and document according to policy.","Assume the symptoms are expected aging and wait for the next routine charting time.","Tell the resident they have heart failure and should avoid all activity.","Enter the details into the online course discussion for feedback.","A","Shortness of breath and increased swelling are body-system observations that require prompt reporting. CNAs report facts and avoid diagnosis or PHI sharing.","hard","Module 13 - Long Term Care Patient/Resident"
"U05","U05_Q10_certificate_gate","Which statement about U05 completion and certificates is compliance-safe while the course is Draft / Pending CDPH Approval?","multichoice","Passing the U05 quiz alone releases a certificate immediately.","Certificate release remains blocked until required unit evidence, assessment gates, identity/no-PHI attestations, approval metadata, and administrative approval-status gates are satisfied.","Clinical or simulation hours are awarded after the U05 scenario.","Learners should upload real facility forms to prove participation.","B","U05 is online CE only. Certificates must remain unavailable until all Moodle evidence and approval-status requirements are satisfied; real forms and clinical/simulation claims are excluded.","easy","Module 13 - Long Term Care Patient/Resident"
