unit_id,question_name,question_text,question_type,answer_a,answer_b,answer_c,answer_d,correct_answer,rationale,difficulty,source_backbone
"U07","U07_Q01_source","Which source backbone maps to U07 - Rehabilitative Nursing?","multichoice","Module 14 - Rehabilitative Nursing","Module 15 - Observation and Charting","Module 13 - Long Term Care Patient/Resident","Module 10 - Vital Signs","A","U07 is built from Module 14 content focused on rehabilitative nursing and restorative CNA support.","easy","Module 14 - Rehabilitative Nursing"
"U07","U07_Q02_adl_participation","Resident G can wash the face and upper body after setup but asks the CNA to do everything because it is faster. What is the best restorative response?","multichoice","Complete the entire bath quickly so the resident does not have to try","Set up supplies, provide privacy, cue the resident to do the parts they can safely do, and assist with the rest","Tell the resident they are being lazy if they do not wash independently","Leave the room and return after the resident completes all care alone","B","Restorative ADL support means setup, cueing, time, dignity, and the amount of help required by the care plan--not taking over or abandoning the resident.","medium","Module 14 - Rehabilitative Nursing"
"U07","U07_Q03_device_scope","During wheelchair setup, the CNA notices the cushion is missing and one footrest is loose. Which action is outside CNA scope?","multichoice","Stop the transfer setup until safe equipment or assistance is available","Report the unsafe device concern to the nurse according to policy","Change the mobility plan independently and discontinue the wheelchair device permanently","Document the observed equipment issue and notification","C","The CNA reports and follows the care plan; independently changing a mobility or device plan is beyond CNA scope.","medium","Module 14 - Rehabilitative Nursing"
"U07","U07_Q04_documentation","Which documentation entry is most objective for restorative bathing support?","multichoice","Resident was stubborn and made care take too long.","Resident probably needs a different therapy plan.","Family makes the resident too dependent.","Resident washed face and upper body after setup; used long-handled sponge with two verbal cues; stated, 'I am tired'; nurse notified of fatigue.","D","Objective restorative documentation includes the task, assistance level, device/cueing, resident response or statement, and notification without labels or diagnosis.","medium","Module 14 - Rehabilitative Nursing"
"U07","U07_Q05_restorative_definition","What does restorative care mean in this unit?","multichoice","A copied clinical skills checklist","Care that supports the resident's highest practical level of function","A certificate approval number","A replacement for physical therapy orders","B","Restorative care focuses on maintaining or improving the resident's function through care-plan guided daily support.","easy","Module 14 - Rehabilitative Nursing"
"U07","U07_Q06_rom_pain","During assigned active-assistive range of motion, a resident grimaces and says, 'That hurts sharply in my shoulder.' What should the CNA do?","multichoice","Force the joint through the full range to prevent contracture","Ignore the statement if the exercise was assigned","Stop that movement, keep the resident safe, report the pain promptly, and document facts as assigned","Increase repetitions so the shoulder becomes stronger","C","Sharp pain during assigned ROM is a reportable concern; the CNA should not force movement or change the exercise plan independently.","hard","Module 14 - Rehabilitative Nursing"
"U07","U07_Q07_evidence","What evidence should Moodle retain for U07 completion?","multichoice","Only a verbal promise that the learner studied","Clinical-hour attendance from a facility shift","A copied source page with the learner's name","Page/book completion, scenario attempt, reflection/attestation, quiz score, time/log data, and unit completion status","D","U07 completion depends on Moodle evidence of online engagement and active participation; it does not use clinical-hour proof or copied source pages.","medium","Module 14 - Rehabilitative Nursing"
"U07","U07_Q08_self_esteem_family","A family member says, 'Just dress her yourself; it is painful to watch her struggle,' but the resident can dress with cueing. Which CNA response best protects dignity and restorative goals?","multichoice","Tell the family member to leave because they are interfering","Dress the resident completely and do not mention the care plan","Say the plan encourages the resident to do safe parts independently, provide cueing and help as needed, and refer detailed goal questions to the nurse or therapist","Promise the resident will regain full independence if the family stops helping","C","The CNA can explain care-plan guided participation respectfully while preserving dignity and referring therapy-goal questions to licensed or therapy staff.","hard","Module 14 - Rehabilitative Nursing"
"U07","U07_Q09_inactivity_complications","A resident who usually joins a walking program has stayed in bed most of the week and now needs more help standing. Which concern best connects to complications of inactivity?","multichoice","Inactivity has no effect if meals are delivered to the room","The CNA should create a new strengthening plan without telling anyone","The resident should be scolded for losing motivation","Weakness, joint stiffness, pressure injury risk, constipation, lung congestion, and loss of confidence should be reported and addressed through the care plan","D","Inactivity can affect muscles, joints, skin, lungs, elimination, and self-esteem; the CNA reports changes and follows the restorative plan.","hard","Module 14 - Rehabilitative Nursing"
"U07","U07_Q10_certificate_gate","Which statement is compliance-safe for this Draft / Pending CDPH Approval online CE unit?","multichoice","Keep certificate release blocked until approval metadata, identifiers, required evidence, and administrative gates are satisfied","Advertise the unit as CDPH approved because the learner passed the quiz","Count this online lesson as hands-on ROM validation","Ask learners to enter real resident details for realistic documentation practice","A","The course may provide online CE content while pending but must not claim approval or release certificates until approval and evidence requirements are met.","easy","Module 14 - Rehabilitative Nursing"
