module_id,question_name,question_text,question_type,answer_a,answer_b,answer_c,answer_d,correct_answer,rationale,difficulty,topic_area
"M08","M08_Q01_NEAR_MISS_RECOGNITION","A patient reports almost falling twice after discharge because the walker arrived late, but no injury occurred. What should the RN case manager recognize?","multiple_choice","A near miss that may require same-day follow-up and quality-review consideration","A routine preference issue because the patient was not injured","A provider-only decision with no RN case management role","A completed incident that requires no further follow-up","A","A near miss reveals a safety weakness before harm occurs. The RN case manager should address the current fall risk, coordinate follow-up, and consider whether the equipment delay needs quality review.","foundational","near miss recognition"
"M08","M08_Q02_IMMEDIATE_ESCALATION","Which fictional finding most clearly requires immediate escalation rather than routine follow-up?","multiple_choice","A patient asks for transportation resources for next month's appointment","A patient reports sudden severe shortness of breath during a follow-up call","A caregiver asks for a printed copy of routine community resource options","A stable patient wants to confirm the date of a future specialist visit","B","Sudden severe shortness of breath is a current high-risk change in condition. The RN case manager should follow policy for rapid clinical or emergency direction rather than using routine coordination.","applied","immediate escalation"
"M08","M08_Q03_FACTUAL_DOCUMENTATION","Which documentation entry best supports M08 expectations for factual incident-related case management notes?","multiple_choice","The caregiver caused the problem by ignoring instructions.","The discharge process was clearly poor and unsafe.","Patient reported dizziness and near fall; caregiver reported medication-timing uncertainty; RN initiated same-day clarification and supervisor notification per policy.","Incident details are omitted because quality review will handle everything.","C","The correct entry records reported facts, source of information, risk, RN action, and escalation without blame or unsupported conclusions. It also preserves clinically relevant follow-up information.","applied","factual documentation"
"M08","M08_Q04_COMPLAINT_TRIAGE","A caregiver complains that no one returned a call about new patient dizziness until the next day. The patient is now stable. What is the best RN case management response?","multiple_choice","Dismiss the complaint because the patient is stable now","Promise the caregiver that a specific disciplinary action will occur","Record only that the caregiver was dissatisfied","Acknowledge the complaint, document facts, confirm current safety, route according to policy, and consider quality review of callback delay","D","The RN should respect the complaint, verify current patient safety, document facts, route through policy, and recognize that delayed response to new symptoms may reveal a quality process gap.","advanced","complaint handling"
"M08","M08_Q05_CHANGE_IN_CONDITION","Which scenario best represents a change in condition that should alter the RN case manager's pathway decision?","multiple_choice","A patient with stable baseline symptoms reports new confusion and worsening weakness today","A patient asks whether a routine appointment can be moved to a later date","A caregiver requests general meal-delivery resources for next month","A patient confirms that ordered equipment arrived and is working","A","New confusion and worsening weakness are changes from baseline that may signal increased patient risk. The RN case manager should prioritize assessment, notification, and escalation according to severity and policy.","applied","change in condition"
"M08","M08_Q06_SAME_DAY_ESCALATION","A stable patient reports a high-risk medication discrepancy and skipped one dose because discharge instructions are unclear. Which pathway is most appropriate in the fictional facts?","multiple_choice","Routine follow-up next month","Same-day escalation for medication clarification and patient safety follow-up","Quality-review only with no patient-care follow-up","No action because the patient skipped only one dose","B","A high-risk medication discrepancy can worsen if clarification is delayed. Same-day escalation supports timely provider, pharmacy, or supervisory communication while the RN tracks follow-up evidence.","advanced","same-day escalation"
"M08","M08_Q07_JUST_CULTURE","Which statement best reflects a just-culture approach to an M08 quality review?","multiple_choice","Quality review should focus only on finding the person at fault.","Near misses should be ignored if no patient harm occurred.","Review should examine process contributors, safeguards, human factors, and prevention actions while preserving accountability.","All quality concerns should be documented as patient noncompliance.","C","Just culture supports learning from events by examining system and human factors without automatic blame. It still allows accountability while improving safeguards and recurrence prevention.","foundational","just culture"
"M08","M08_Q08_QUALITY_REVIEW_EVIDENCE","After a same-day medication clarification is completed, what follow-up evidence best supports quality review?","multiple_choice","A note saying the issue is over because someone was contacted","A statement that the patient probably misunderstood instructions","A copied official incident form placed into the learning response","Documentation that clarification was received, patient/caregiver teaching was completed, and a process gap was referred for review","D","Quality review needs evidence of resolution and prevention. The RN case manager should document confirmation, teaching, and process referral without copying official forms or relying on vague closure language.","advanced","quality review evidence"
"M08","M08_Q09_ROUTINE_VS_ESCALATION","Which event is most appropriate for routine RN case management follow-up in the fictional facts?","multiple_choice","A stable patient requests nonurgent transportation resources for a routine appointment next month","A patient reports a new fall with head injury symptoms","A caregiver reports the patient is newly unable to stand safely","A patient reports taking the wrong dose of a high-risk medication today","A","A stable request for future transportation resources can fit routine coordination when no current safety risk is present. The other options involve urgent patient-care risk or change in condition.","foundational","routine pathway"
"M08","M08_Q10_NO_PHI_PRACTICE","What should learners do when completing the M08 assignment?","multiple_choice","Use a real case if names are removed","Use fictional details and avoid real patient, caregiver, staff, facility, payer, or provider identifiers","Copy the employer's incident form into the response","Include real dates so the scenario sounds realistic","B","The assignment is a learning activity, not a real incident report. Fictional details protect privacy and prevent disclosure of real patient or operational information.","foundational","no-PHI practice"
