unit_id,question_name,question_text,question_type,answer_a,answer_b,answer_c,answer_d,correct_answer,rationale,difficulty,source_backbone
"U01","U01_Q01_source_backbone","Which source backbone maps to U01 - Vital Signs I: Measurement Foundations?","multichoice","Module 10 - Vital Signs","Module 11 - Nutrition","An unrelated course packet","A copied government signer packet","A","U01 is built from Module 10 - Vital Signs and focuses on measurement foundations, temperature, pain observation, recording, and reporting within CNA scope.","easy","Module 10 - Vital Signs"
"U01","U01_Q02_temp_pain_scenario","Resident A is quiet, wrapped in two blankets, states 'I feel cold,' has an oral temperature of 100.8 F at 0730, and reports right knee pain 6/10. What is the best CNA action?","multichoice","Wait until the end of shift because routine charting is enough.","Record the reading with route and time, report the change and pain statement promptly to the licensed nurse, and document factual observations.","Diagnose an infection and decide which pain medicine is needed.","Enter the resident's real name and room number into the Moodle reflection.","B","The U01 CNA role is to measure as assigned, include route and time, report temperature and pain concerns promptly, document facts, and avoid diagnosis, medication decisions, and PHI entry.","medium","Module 10 - Vital Signs"
"U01","U01_Q03_scope_temperature_pain","Which action is outside CNA scope when a resident has a temperature change and pain report?","multichoice","Using the assigned pain scale and reporting the resident's statement.","Recording an assigned temperature with the route, time, and related observations.","Deciding the resident has an infection and changing the care plan independently.","Protecting privacy while notifying the licensed nurse according to policy.","C","CNAs report measured facts, resident statements, and observations. Diagnosing infection or independently changing the care plan exceeds CNA scope.","medium","Module 10 - Vital Signs"
"U01","U01_Q04_objective_charting_scenario","Which charting example is most objective for the U01 scenario after the nurse is notified?","multichoice","Resident was dramatic and probably trying to avoid breakfast.","Resident's family caused the knee problem and the fever.","Resident is infected and needs medication now.","0730 oral temperature 100.8 F; resident stated 'I feel cold' and reported right knee pain 6/10 when standing; guarding observed; nurse notified.","D","Objective U01 documentation includes value, route, time, resident statement, pain rating, observed cue, and notification without labels, blame, diagnosis, or medication decisions.","medium","Module 10 - Vital Signs"
"U01","U01_Q05_afebrile_term","In vital-sign terminology, what does afebrile mean?","multichoice","Without fever","With fever","A hands-on competency checkoff","A certificate approval number","A","Afebrile means without fever. U01 uses temperature terms so CNAs can communicate accurately without over-interpreting findings.","easy","Module 10 - Vital Signs"
"U01","U01_Q06_pain_observation_judgment","Before a shower, a resident grimaces, holds the bedrail, and reports new hip pain as 8/10 when standing. Which response follows U01 pain-observation principles?","multichoice","Tell the resident to ignore the pain because the shower schedule is busy.","Pause the activity as safe, observe and report the pain statement and cues to the nurse, and follow direction before continuing.","Decide the resident needs a specific medication and document that it was requested.","Chart that pain resolved because the resident stopped standing.","B","Pain is the resident's report supported by CNA observations. New severe pain with movement should be reported promptly while the CNA stays within care-plan and licensed-direction boundaries.","medium","Module 10 - Vital Signs"
"U01","U01_Q07_temperature_route_application","A resident's last temperature was documented as axillary, and the current assigned reading is oral. What should the CNA include when recording or reporting the current reading?","multichoice","Only that the temperature is higher or lower than last time.","A diagnosis explaining why the two readings differ.","The current value, oral route, time, related observations, and notification if the finding is unusual.","Nothing about route because all temperature routes are interchangeable.","C","Temperature route and time are essential measurement details. Oral and axillary readings are not automatically interchangeable, and the CNA reports facts rather than diagnoses.","medium","Module 10 - Vital Signs"
"U01","U01_Q08_certificate_gate_compliance","Which statement about U01 completion and certificate release is compliance-safe while the course is Draft / Pending CDPH Approval?","multichoice","Passing the U01 quiz alone releases a certificate immediately.","The U01 scenario awards clinical or simulation hours.","Learners should upload facility vital-sign forms to prove participation.","Certificate release remains blocked until approval metadata, required Moodle evidence, assessment gates, identity/no-PHI attestations, and administrative approval-status gates are satisfied.","D","U01 is online CE only. Certificates must remain unavailable until all required evidence and approval-status conditions are satisfied; clinical/simulation claims and copied forms are excluded.","easy","Module 10 - Vital Signs"
"U01","U01_Q09_sorting_diagnosis","In a U01 sorting activity, which item belongs in the category 'do not chart as a diagnosis'?","multichoice","Resident has an infection causing the fever.","Oral temperature 100.8 F at 0730.","Resident stated 'I feel cold.'","Nurse notified of temperature and right knee pain 6/10.","A","Saying the resident has an infection is a diagnosis. CNAs should chart the measured temperature, resident quote, pain report, observations, and notification.","medium","Module 10 - Vital Signs"
"U01","U01_Q10_reporting_foundations","When an unusual temperature or pain observation is found, which statement best reflects U01 reporting foundations?","multichoice","Routine charting always replaces direct reporting to the nurse.","Report promptly according to policy, recheck only as directed, document facts with route/time or pain scale, and include who was notified.","Delay reporting until the resident has the same finding on three shifts.","Post a de-identified story online and ask classmates what diagnosis fits.","B","U01 emphasizes timely reporting, accurate measurement details, factual documentation, privacy, and CNA scope. Rechecking should follow direction and should not delay urgent reporting.","hard","Module 10 - Vital Signs"
