course_id,question_name,question_text,question_type,answer_a,answer_b,answer_c,answer_d,correct_answer,rationale,difficulty,core_category
RCFE-CETP-009,RCFE-CETP-009_Q001,"An RCFE business file has a current training roster, a dated policy index, and a draft website page with pending approval language. What record-control label should be added to make review status clearer?",multichoice,"Owner, status, review date, and next follow-up step for each item","A resident diagnosis summary for each roster entry","A copied approval number from a prior course packet","A public certificate statement before metadata is issued",A,"Business-operation records are easier to audit when each item has a named owner, dated status, and follow-up action without adding private or unsupported information.",foundational,"Business Operations"
RCFE-CETP-009,RCFE-CETP-009_Q002,"A fictional course flyer says learners will receive RCFE credit immediately after passing the quiz while approval is still pending. What revision should the administrator require?",multichoice,"Leave the flyer unchanged because the quiz is part of the course","State Draft / Pending CDSS/ACS Approval and explain that certificates remain disabled until required gates and issued metadata are satisfied","Add a small footnote but keep the immediate-credit claim","Ask staff to explain the pending status verbally while distributing the flyer",B,"The accurate revision removes the unsupported credit claim and ties certificate release to completion gates plus issued approval metadata.",scenario,"Business Operations"
RCFE-CETP-009,RCFE-CETP-009_Q003,"Which item is most appropriate for a fictional audit-readiness action list in this course?",multichoice,"A real resident billing dispute with account details","A staff medical record used as a sample attachment","A fee-policy summary missing a revision date and assigned owner","A copied official LIC form altered for practice",C,"A fictional fee-policy gap lets learners practice business controls without exposing private information or changing official documents.",foundational,"Business Operations"
RCFE-CETP-009,RCFE-CETP-009_Q004,"A policy index is complete except that no one is responsible for future updates. What should the administrator document?",multichoice,"That the index is complete because all pages are present","That the issue can wait until a licensing visit","That staff may use any version they remember","The assigned owner, review interval, storage location, and follow-up date",D,"Record ownership and review timing prevent outdated business documents from appearing current simply because they are stored in the folder.",application,"Business Operations"
RCFE-CETP-009,RCFE-CETP-009_Q005,"During a Moodle build review, the certificate activity is visible while vendor and course approval metadata are still unavailable. What is the appropriate control?",multichoice,"Tell learners not to click the certificate unless they passed","Disable certificate release until duration, participation, assessment, evaluation, and issued metadata gates are satisfied","Allow certificate release for internal learners only","Replace the certificate with a screenshot of the completion report",B,"Certificate access must remain blocked while approval metadata is pending even if activity completion and quiz evidence exist.",application,"Business Operations"
RCFE-CETP-009,RCFE-CETP-009_Q006,"What is the main purpose of classifying business records as ready, pending internal update, or approval-dependent?",multichoice,"To make the file status honest, traceable, and easier to manage before review","To remove incomplete records from the file permanently","To let public materials use future approval language","To avoid assigning follow-up responsibility",A,"Status classification helps the administrator separate complete records from fixable gaps and items that depend on issued approval facts.",foundational,"Business Operations"
RCFE-CETP-009,RCFE-CETP-009_Q007,"A website draft includes a placeholder course number because the team expects approval soon. Which administrator response manages the risk?",multichoice,"Publish the draft because the number can be corrected later","Use the placeholder only in small print","Ask learners to disregard the number until approval arrives","Remove the placeholder, mark the field pending, and assign final clearance after issued metadata is verified",D,"Placeholder approval numbers can look official; removing them and documenting the clearance step keeps public communication accurate.",scenario,"Business Operations"
RCFE-CETP-009,RCFE-CETP-009_Q008,"A fictional readiness folder contains a roster, a fee summary, a public announcement, and a policy index. Which item should be held from public release?",multichoice,"The roster marked complete for internal review","The policy index with an owner and review date","The announcement claiming approval before approval metadata is issued","The fee summary labeled pending internal revision",C,"Public-facing approval claims require issued and verified metadata; a pending or internal record can be tracked without being released publicly.",scenario,"Business Operations"
RCFE-CETP-009,RCFE-CETP-009_Q009,"Which documentation note is strongest for a business-operation correction?",multichoice,"Website draft revised to pending-status wording on 06/09; unissued course number removed; owner assigned to verify metadata before release","Handled by office staff","Looks fine now","Learners were told the number was not final",A,"The note identifies the correction, date, owner, and approval dependency rather than relying on vague or verbal-only handling.",application,"Business Operations"
RCFE-CETP-009,RCFE-CETP-009_Q010,"A learner wants to upload a real facility invoice as evidence for the assignment. What should the course instruct instead?",multichoice,"Upload it only if account numbers are covered","Post it in the forum for peer review","Send it privately to another learner","Use a fictional example and do not submit real financial or facility records",D,"The course practices business judgment through fictional examples and should not collect private facility or financial records.",scenario,"Business Operations"
RCFE-CETP-009,RCFE-CETP-009_Q011,"Which phrase is most appropriate while course approval remains pending?",multichoice,"Issued RCFE credit is guaranteed before metadata is available","Certificate issued immediately after quiz completion","Draft / Pending CDSS/ACS Approval; certificates remain disabled until required gates and issued metadata are satisfied","Official course number confirmed",C,"The pending-status wording accurately states the current condition and avoids unsupported approval, credit, and certificate claims.",foundational,"Business Operations"
RCFE-CETP-009,RCFE-CETP-009_Q012,"What should an administrator verify before adding a vendor number or course number to learner-visible Moodle content?",multichoice,"Whether the number appears in an old draft","Whether the number has been issued, is current, and is approved for this specific course use","Whether learners asked for it","Whether another provider uses a similar number",B,"Approval identifiers must come from issued current metadata for this course and cannot be borrowed from drafts or other programs.",application,"Business Operations"
RCFE-CETP-009,RCFE-CETP-009_Q013,"A fictional staff member finds two versions of the same fee-policy summary in the business folder. How should the administrator proceed?",multichoice,"Use whichever version is shorter","Delete both versions and wait for a reviewer to ask","Publish both versions so families can compare them","Identify the current version, archive or label the superseded version, and record owner and review date",D,"Version control is a practical business-operation control that prevents conflicting public or internal instructions.",scenario,"Business Operations"
RCFE-CETP-009,RCFE-CETP-009_Q014,"Which action shows sound judgment when a record gap is found two days before internal review?",multichoice,"Mark the entire course approved to avoid concern","Document the gap, assign an owner, set a follow-up date, and keep approval-dependent content out of public release","Hide the gap from the readiness list","Ask learners to decide whether the gap matters",B,"A documented follow-up plan shows control of the gap without overstating approval status or shifting responsibility to learners.",application,"Business Operations"
RCFE-CETP-009,RCFE-CETP-009_Q015,"For Moodle evidence, which records best support completion review for this course?",multichoice,"Page views, scenario completions, participation response, assignment submission, quiz attempt record, evaluation status, and certificate gate audit","Only a final course grade","Only an instructor email saying the learner attended","Only a learner screenshot of the course home page",A,"Completion evidence should show the learner completed required content, participation, assessment, evaluation, and certificate-gate conditions.",application,"Business Operations"
RCFE-CETP-009,RCFE-CETP-009_Q016,"A draft email to enrolled learners says the course is fully approved and certificates will be available today. Approval metadata is not available. What should the administrator do?",multichoice,"Send it to learners who already completed the course","Change only the subject line","Revise it to pending-status language, remove certificate timing claims, and document the clearance requirement","Send it internally and ask staff not to forward it",C,"The administrator should correct the written message before release because unsupported approval and certificate timing claims create business and compliance risk.",scenario,"Business Operations"
RCFE-CETP-009,RCFE-CETP-009_Q017,"Which business control best protects against outdated public language reappearing after correction?",multichoice,"Allow each staff member to keep a personal version","Rely on memory after the correction meeting","Avoid keeping any communication drafts","Maintain a current-language file with owner, approval dependency, revision date, and retired-version label",D,"A controlled current-language file gives staff one reliable source and preserves why older language should not be reused.",application,"Business Operations"
RCFE-CETP-009,RCFE-CETP-009_Q018,"In a scenario, a reviewer asks how the administrator knew a public course page was ready for release. Which response is most defensible?",multichoice,"Produce the dated communication-review note showing pending items cleared, approval metadata verified, owner signoff, and release date","Say the page looked professional","Explain that another course used similar wording","State that no record was needed because the page was public",A,"A dated review note with clearance evidence connects the public communication to issued metadata and administrator review.",scenario,"Business Operations"
RCFE-CETP-009,RCFE-CETP-009_Q019,"Which learner assignment submission should be returned for correction?",multichoice,"A fictional memo with owner, status, due date, and claim-safe rewrite","A fictional action list using pending-status wording","A real facility document containing staff names and payment details","A short evidence note naming Moodle completion records",C,"Learner submissions must not include real facility, financial, staff, resident, or protected information; fictional practice is required.",application,"Business Operations"
RCFE-CETP-009,RCFE-CETP-009_Q020,"A fictional public announcement says approval is pending but also promises guaranteed job outcomes after the course. How should the administrator revise it?",multichoice,"Keep the job-outcome promise because it is separate from approval","Replace the promise with a neutral course-purpose statement and keep only supportable pending-status language","Move the promise into a smaller font","Ask learners to sign a waiver acknowledging the promise may change",B,"Claim-safe communication avoids unsupported outcomes as well as unsupported approval claims; neutral purpose language is more accurate.",scenario,"Business Operations"
