unit_id,question_name,question_text,question_type,answer_a,answer_b,answer_c,answer_d,correct_answer,rationale,difficulty,source_backbone
U12,U12_Q01_source,Which source backbone maps to U12 - Patient/Resident Abuse II: Reporting and Response?,multichoice,Module 17 - Patient/Resident Abuse,Module 16 - Death and Dying,Module 15 - Observation and Charting,Module 14 - Rehabilitative Nursing,A,U12 reporting and response content is mapped to Module 17 - Patient/Resident Abuse.,easy,Module 17 - Patient/Resident Abuse
U12,U12_Q02_disclosure_response,"Resident L says, ""My nephew takes my bank card and yells when I ask for it back,"" then asks you not to tell anyone. What is the best first response?",multichoice,Promise secrecy so the resident stays calm,"Listen calmly, explain you cannot promise secrecy, and report through required channels",Call the nephew to ask whether the statement is true,Wait until the resident repeats the concern later,B,"A CNA should support the resident, avoid secrecy promises, and move the concern to required reporting channels promptly.",medium,Module 17 - Patient/Resident Abuse
U12,U12_Q03_scope_boundary,Which action is outside the CNA role after a possible financial exploitation disclosure?,multichoice,Report factual information to the nurse or supervisor,Protect the resident's privacy,Confront the relative and demand return of the bank card,Document the resident's direct quote,C,Confronting or investigating a family member is outside CNA scope and may increase risk to the resident.,medium,Module 17 - Patient/Resident Abuse
U12,U12_Q04_objective_documentation,Which documentation entry is most objective for the Resident L scenario?,multichoice,Resident's family is stealing and should be banned.,Resident is confused about money again.,Nephew is probably financially abusive.,"Resident stated, ""My nephew takes my bank card and yells when I ask for it back""; resident stated no money for preferred hygiene items this month; supervisor notified.",D,"Objective documentation uses direct quotes, observable or stated facts, and notification rather than conclusions or blame.",medium,Module 17 - Patient/Resident Abuse
U12,U12_Q05_confidentiality_statement,Which confidentiality statement is safest when a resident requests secrecy?,multichoice,"I cannot promise secrecy, but I will share this only with people who are authorized to help and protect you.",I will keep this between us if you stop talking about it.,I will tell the whole staff so everyone knows.,Privacy rules mean I cannot report this.,A,Required reporting is confidential but not secret; the CNA must report through authorized channels while limiting unnecessary disclosure.,medium,Module 17 - Patient/Resident Abuse
U12,U12_Q06_coworker_gossip,A coworker who is not involved in the report asks for details about Resident L's disclosure. What should the CNA do?,multichoice,Share the details because coworkers are curious,"Decline gossip and share information only through authorized need-to-know reporting pathways",Post a warning in the staff group chat,Ask another resident whether they have heard similar concerns,B,Confidentiality requires limiting details to authorized reporting and care channels rather than gossip or informal sharing.,medium,Module 17 - Patient/Resident Abuse
U12,U12_Q07_moodle_evidence,What Moodle evidence should support U12 completion?,multichoice,Only a verbal statement that the learner read the unit,A copied official reporting form,"Book/page logs, scenario attempt, quiz pass, reflection/attestation, and unit completion status",Clinical skills checkoff in a facility,C,U12 online CE completion is supported by Moodle logs and assessment records; it does not create clinical or hands-on validation evidence.,easy,Module 17 - Patient/Resident Abuse
U12,U12_Q08_reporting_pathway,Which reporting-pathway principle is correct for this unit?,multichoice,Report only if the CNA can prove exploitation,Delay reporting when the suspected person is a family member,Use social media to warn others,"Follow current California and facility mandated-reporting procedures and supervisory chain without delay",D,The CNA reports suspected abuse or exploitation promptly through current required pathways rather than proving or publicizing the concern.,medium,Module 17 - Patient/Resident Abuse
U12,U12_Q09_financial_exploitation,"A resident says a relative controls the bank card, yells when asked about it, and leaves no money for preferred hygiene items. What type of concern is most directly suggested?",multichoice,Possible financial exploitation,A routine family budgeting choice that never requires reporting,A clinical skills issue,A certificate approval problem,A,"Misuse, theft, coercion, or control of a resident's money or property may indicate financial exploitation and must be reported through required channels.",medium,Module 17 - Patient/Resident Abuse
U12,U12_Q10_certificate_gate,When may a certificate be released for this Draft / Pending CDPH Approval course?,multichoice,As soon as U12 is opened,After the learner writes any reflection,When the resident scenario is completed once,"Only after approval metadata, required course evidence gates, assessments, attestations, and authorized administrative release conditions are satisfied",D,Certificate release remains blocked while approval is pending and until all required evidence and administrative gates are met.,hard,Module 17 - Patient/Resident Abuse
