module_id,question_name,question_text,question_type,answer_a,answer_b,answer_c,answer_d,correct_answer,rationale,difficulty,topic_area
M02,M02_Q01_REFERRAL_VALIDATION,"A referral lists wound care, a new insulin schedule, and transportation concerns. Which RN case management action best validates the intake source before planning?",multiple_choice,"Compare the referral with patient report, caregiver input, medication information, and available records.","Accept the referral as complete because it came from a discharge source.","Begin payer communication before reviewing clinical or functional risks.","Document only the diagnosis and defer all validation until the next visit.",A,"Validation requires comparing referral data with the patient, caregiver, medication, and record sources so the care plan is based on reliable and current intake findings.",foundational,"referral validation"
M02,M02_Q02_PATIENT_INTERVIEW,"Which interview approach best supports patient-centered intake during M02?",multiple_choice,"Ask only closed yes/no questions so the intake can be finished quickly.","Clarify what changed, what the patient understands, what the patient wants, and what barriers may affect follow-through.","Let the caregiver answer all questions to reduce patient burden.","Start with certificate and course completion rules before discussing patient care.",B,"Patient-centered intake combines current status, patient goals, understanding, and barriers; this creates a practical baseline for case management planning.",foundational,"patient interview"
M02,M02_Q03_MEDICATION_DISCREPANCY,"During intake, the patient reports using the old insulin dose because the discharge instructions are confusing. What is the best RN case management response?",multiple_choice,"Tell the patient which insulin dose to use until the provider visit.","Ignore the issue because medication questions are outside case management.","Document the discrepancy, assess understanding, teach safe follow-up within scope, and coordinate prompt clarification.","Mark the referral complete because the medication list already exists.",C,"The RN case manager should not change orders, but should recognize medication risk, document objective findings, educate within scope, and coordinate clarification.",applied,"medication risk"
M02,M02_Q04_FUNCTIONAL_RISK,"A caregiver reports the patient almost fell during a bathroom transfer and the ordered walker has not arrived. Which priority is most appropriate?",multiple_choice,"Treat the walker as an equipment preference and address it after routine paperwork.","Focus only on the wound order because falls are not part of intake.","Wait for the patient to fall before documenting functional risk.","Escalate and coordinate fall-risk follow-up, equipment status, and caregiver support because immediate safety may be affected.",D,"Near falls and missing mobility equipment are functional safety risks that can change the priority order and require timely coordination or escalation.",applied,"functional risk"
M02,M02_Q05_SDOH_PRIORITY,"A patient understands the care plan but cannot reach follow-up appointments and reports limited food access. How should the RN case manager treat these findings?",multiple_choice,"Include them as care plan barriers because they may affect access, adherence, and safe transitions.","Exclude them because social concerns are not related to nursing case management.","Document them only if the payer asks for additional information.","Treat them as patient preferences that do not require follow-up.",A,"Transportation and food access can determine whether ordered care and teaching are usable, so they belong in patient-centered intake and coordination planning.",applied,"social determinants"
M02,M02_Q06_HEALTH_LITERACY,"Which documentation best reflects health literacy assessment during intake?",multiple_choice,"Patient was educated and appeared to understand.","Patient used teach-back to describe two wound infection warning signs and requested large-print supply instructions.","Caregiver seems responsible for teaching the patient.","Patient has low literacy and may not follow directions.",B,"Specific teach-back results and requested communication supports provide objective evidence of understanding and needed adaptations.",applied,"health literacy"
M02,M02_Q07_MEASURABLE_GOAL,"Which goal is most measurable and patient-centered for the initial M02 care plan?",multiple_choice,"Patient will improve diabetes management soon.","Patient will be compliant with all instructions.","Within seven days, patient will describe the current insulin schedule using teach-back and identify who to contact for out-of-range readings.","RN will complete all case management tasks as available.",C,"The goal includes a time frame, patient action, teach-back evidence, and a safety follow-up element tied to the patient's medication-risk finding.",applied,"patient-centered goals"
M02,M02_Q08_PRIORITY_RANKING,"Which intake finding should generally rank highest when building the initial priority list?",multiple_choice,"A routine request to update the preferred pharmacy later this month.","A preference for morning phone calls when scheduling allows.","A completed demographic field that needs formatting cleanup.","A current medication discrepancy paired with patient confusion after discharge.",D,"A medication discrepancy with confusion creates immediate safety risk and should rank above routine administrative or preference-based findings.",applied,"prioritization"
M02,M02_Q09_OBJECTIVE_DOCUMENTATION,"Which note is the most objective and audit-ready?",multiple_choice,"Patient reported two missed wound visits because transportation was unavailable; RN documented supply status and initiated follow-up per policy.","Patient is careless and does not follow the wound plan.","Family is unreliable and should be replaced.","The home situation is bad and probably unsafe.",A,"Objective documentation states what was reported, the relevant barrier, and the RN action without unsupported labels or blame.",applied,"documentation"
M02,M02_Q10_ESCALATION_SCOPE,"The referral and patient report conflict about weight-bearing limits after discharge. What should the RN case manager do?",multiple_choice,"Choose the limit that seems most practical for the patient.","Document the conflict and coordinate timely clarification with the provider or authorized team contact before relying on the plan.","Ignore the conflict because it is not a medication issue.","Tell the patient there are no restrictions until another visit occurs.",B,"Conflicting orders or instructions can create safety risk; the RN should document the discrepancy and seek clarification without making a provider-only decision.",advanced,"escalation"
M02,M02_Q11_CAREGIVER_INPUT,"How should caregiver input be handled when it differs from what the patient reports?",multiple_choice,"Use the caregiver report only because caregivers are usually more accurate.","Use the patient report only and delete caregiver concerns.","Document each source, identify the conflict, assess risk, and plan follow-up to resolve the gap.","Treat the conflict as proof that the case should be closed.",C,"Caregiver input is a source of assessment data; conflicts should be made visible and followed up rather than ignored or treated as proof of fault.",applied,"caregiver interview"
M02,M02_Q12_MISSING_INFORMATION,"A referral lacks wound supply delivery status and the patient is unsure whether supplies are coming. What is the best documentation practice?",multiple_choice,"Leave the issue out until all supply questions are fully resolved.","Write that supplies are probably available because they were ordered.","Mark the plan complete and ask the next nurse to check later.","Record the missing information, assign follow-up ownership, set a time frame, and update the plan when status is confirmed.",D,"Audit-ready care planning can include unresolved gaps when the record identifies the gap, owner, due time, and plan for verification.",applied,"missing information"
M02,M02_Q13_AUDIT_READY_PLAN,"Which care plan element most improves audit readiness after structured intake?",multiple_choice,"A link between each priority finding, RN action, responsible contact, time frame, and follow-up evidence.","A long narrative with no dates, owners, or next steps.","A statement that the patient has complex needs without details.","A note that all issues will be handled later if time allows.",A,"Audit-ready plans let a reviewer trace assessment findings to actions, responsibilities, timing, and evidence of follow-up.",advanced,"care plan documentation"
M02,M02_Q14_CERTIFICATE_GATE,"Which statement best reflects the certificate release rule for this draft module?",multiple_choice,"A certificate can be released when the learner views the overview page.","No certificate releases until provider approval metadata and required completion evidence gates are satisfied.","The M02 quiz alone authorizes certificate release.","A certificate can be released if the learner writes a strong reflection.",B,"Certificate release is blocked while approval metadata is unavailable and until all required completion, assessment, and attestation evidence gates are met.",advanced,"completion guardrails"
