module_id,question_name,question_text,question_type,answer_a,answer_b,answer_c,answer_d,correct_answer,rationale,difficulty,topic_area
M01,M01_Q01_RN_SCOPE_CASE_MANAGEMENT_IDENTITY,"Which statement best describes RN case management in M01?",multiple_choice,"It applies registered nursing judgment to patient-care risks, coordination needs, advocacy, and follow-up evidence.","It is limited to appointment scheduling and referral tracking.","It allows the RN to independently diagnose new medical conditions during coordination.","It is primarily a business process for guaranteeing service approval.",A,"RN case management remains nursing practice when actions are tied to assessment, patient risk, scope, coordination, and documented follow-up. The other answers remove the nursing judgment link or exceed RN authority.",foundational,RN scope
M01,M01_Q02_NURSING_PROCESS_ASSESSMENT,"A referral packet lists a new medication and the caregiver reports the patient is confused about the instructions. What is the best first RN case management response?",multiple_choice,"Tell the caregiver to stop the medication until the next appointment.","Assess what the caregiver understands, compare it with available discharge information, and identify whether provider clarification is needed.","Promise the family that additional visits will be approved to solve the concern.","Document that the caregiver is noncompliant and close the referral.",B,"The RN uses assessment before planning or coordination. Medication confusion requires information gathering, scope-safe teaching from existing instructions, possible escalation, and factual documentation.",scenario,nursing process
M01,M01_Q03_INDIRECT_PATIENT_CARE_SCENARIO,"Which example is indirect patient care within RN case management?",multiple_choice,"Filing a fax cover sheet without reviewing why the information matters.","Advertising certificate release before provider metadata is available.","Calling a home health agency to confirm receipt of a wound-care referral because delayed care could increase infection risk.","Changing a wound-care order after the supply company reports a delay.",C,"Referral follow-up can be indirect patient care when it is connected to a patient-care risk such as delayed wound care. Changing orders is outside independent RN authority.",applied,indirect patient care
M01,M01_Q04_PROVIDER_ONLY_BOUNDARY,"A family asks the RN case manager to increase a diuretic dose because the patient gained weight after discharge. Which response best protects scope?",multiple_choice,"Agree to the dose increase because the symptom appears cardiac.","Suggest skipping the medication until the family feels comfortable.","Tell the family that medication decisions are not important to case management.","Assess reported symptoms, reinforce existing urgent instructions within scope, and escalate medication concerns to the provider pathway.",D,"The RN may assess, reinforce existing instructions, document, and escalate. Independently changing or stopping medication would be a provider-only decision and unsafe.",scenario,scope boundaries
M01,M01_Q05_PATIENT_CENTERED_GOAL,"Which goal is most patient-centered and useful for RN case management follow-up?",multiple_choice,"Patient and caregiver will state two discharge warning signs and know whom to contact before the next follow-up call.","The payer will approve all requested services by the end of the day.","The RN will complete all internal tasks without documenting patient response.","The family will receive whatever services they prefer.",A,"The correct goal is measurable, tied to patient understanding and safety, and within RN coordination scope. The other options promise outcomes or focus on tasks without patient-care evaluation.",foundational,patient-centered goals
M01,M01_Q06_ESCALATION_JUDGMENT,"During a follow-up call, a patient reports severe shortness of breath and chest pressure. What should the RN case manager do?",multiple_choice,"Leave a routine message for the provider to review next week.","Follow emergency or urgent escalation policy and document the reported symptoms, instructions given, notifications, and follow-up plan.","Treat the report as a scheduling concern because case managers do not address symptoms.","Ask the patient to wait until the assignment activity is reviewed.",B,"Severe shortness of breath and chest pressure may indicate immediate risk. The RN should use the urgent pathway, stay within policy, and document symptoms, action, and follow-up.",scenario,escalation
M01,M01_Q07_AUDIT_READY_DOCUMENTATION,"Which note excerpt is most audit-ready for M01 coordination evidence?",multiple_choice,"Handled patient issue and called team.","Family upset, told them everything should be fine.","Caregiver reports two missed doses due to label confusion; RN reviewed existing discharge instructions, requested provider clarification, and will confirm response by 1500.","Approved more nursing visits because patient wanted help.",C,"The correct note identifies the source, patient-care issue, RN action, escalation, and follow-up time frame. The other notes are vague or claim authority outside RN scope.",application,audit-ready documentation
M01,M01_Q08_ADVOCACY_BOUNDARY,"A caregiver says transportation barriers may cause the patient to miss a high-risk follow-up visit. Which action best reflects RN advocacy?",multiple_choice,"Guarantee that transportation will be provided by the payer.","Ignore the concern because transportation is not clinical.","Tell the caregiver the patient is responsible and close the case.","Document the barrier, explain the patient-care risk, coordinate appropriate resources or referrals, and escalate unresolved risk as needed.",D,"Advocacy means raising barriers that affect safety or continuity and coordinating appropriate help without promising outcomes outside RN authority.",application,advocacy
M01,M01_Q09_DIRECT_VS_ADMINISTRATIVE,"Which action is most clearly direct patient care by the RN case manager?",multiple_choice,"Assessing a patient's understanding of discharge warning signs during a follow-up call and documenting teach-back.","Sorting invoices for course operations.","Uploading a certificate template before approval metadata is available.","Renaming a referral file without reviewing patient-care content.",A,"Assessing understanding and documenting teach-back involve direct interaction, nursing assessment, education within scope, and evaluation of patient response.",foundational,direct patient care
M01,M01_Q10_ROLE_SORTING_BORDERLINE,"A staff member asks whether sending paperwork is RN case management or administrative support. Which answer best applies M01 role sorting?",multiple_choice,"It is always RN case management because all paperwork affects care.","It depends on whether RN judgment is needed to select, explain, or act on clinical information tied to patient-care risk.","It is always provider-only because paperwork can contain medical facts.","It should never be documented because it is not face-to-face care.",B,"Borderline tasks are classified by patient-care relevance and required judgment. Pure transmission may be support work, while clinically selecting and acting on information can be RN case management.",application,role sorting
M01,M01_Q11_COMPLETION_AND_CERTIFICATE_GATE,"Which statement correctly describes M01 completion and certificate release?",multiple_choice,"Completing M01 automatically releases a certificate.","A certificate can be released once the learner views the overview page.","M01 completion evidence is required, and certificate release remains blocked until provider approval metadata and course completion gates are satisfied.","Certificate release is unrelated to Moodle evidence.",C,"M01 completion contributes evidence, but certificate release requires course-level completion evidence and provider approval metadata. The draft module cannot independently unlock a certificate.",advanced,completion gates
M01,M01_Q12_SCENARIO_PATIENT_GOAL_AND_SCOPE,"In a fictional heart failure follow-up scenario, which RN action is unsafe?",multiple_choice,"Clarifying the caregiver's report of weight gain and shortness of breath.","Documenting that provider notification is pending and follow-up is planned.","Explaining existing discharge warning signs within nursing scope.","Independently ordering an increased diuretic dose to prevent readmission.",D,"Independently changing medication therapy is outside RN case management scope. The RN should assess, educate within existing instructions, document, and escalate to the provider pathway.",scenario,provider-only decisions
M01,M01_Q13_CONTACT_HOUR_STATUS_LANGUAGE,"Which learner-facing status language is appropriate for M01?",multiple_choice,"M01 is a 3 contact-hour draft module pending BRN CEP approval, with no approval claim or certificate release until required gates are satisfied.","M01 can omit status language because it is only a build file.","M01 should be labeled primarily by a different measurement instead of contact hours.","M01 changes its measurement whenever expanded content is added.",A,"The module target is 3 contact hours and status remains Draft / Pending BRN CEP Approval. Expanded content does not change the target or create an approval claim.",advanced,status and contact hours
M01,M01_Q14_APPLICATION_ESCALATION_RECORD,"A referral delay may leave a patient without ordered wound supplies for several days. Which documentation best supports RN case management?",multiple_choice,"Supply issue noted; no further details needed.","Ordered wound supplies unavailable; RN identified infection-risk concern, contacted supplier and ordering pathway according to policy, notified supervisor of delay risk, and set follow-up time.","Patient probably did not plan well, so case closed.","RN promised delivery today to reassure the patient.",B,"The correct documentation links the supply delay to patient-care risk, shows coordination and escalation, avoids blame, and identifies follow-up evidence.",scenario,coordination evidence
M01,M01_Q15_EVALUATION_FOLLOW_UP,"Why is evaluation essential in RN case management documentation?",multiple_choice,"It allows the RN to avoid documenting pending issues.","It replaces the need for provider communication.","It shows whether coordination addressed the patient-care risk, whether understanding or response was confirmed, and what follow-up remains.","It is only needed for direct hands-on care.",C,"Evaluation closes the coordination loop by showing outcomes, remaining barriers, patient or caregiver response, and next steps. Without evaluation, the record may show only an attempted task.",application,evaluation
