module_id,question_name,question_text,question_type,answer_a,answer_b,answer_c,answer_d,correct_answer,rationale,difficulty,topic_area
M10,M10_Q01_INTEGRATED_ASSESSMENT_PRIORITY,"A fictional patient recently discharged after heart failure care reports mild shortness of breath, missed medication doses, no home scale, and limited transportation. What is the best first RN case management action?",multiple_choice,"Complete an integrated assessment of symptoms, medication access, monitoring ability, support, and follow-up barriers before ranking priorities","Focus only on transportation because the appointment is the next calendar event","Tell the patient that home health services will be approved because they were recommended","Delay action until the patient has attended the provider follow-up visit",A,"The integrated assessment is correct because the symptom, medication, monitoring, and access findings combine into a higher-risk transition that must be prioritized before routine scheduling tasks.",applied,integrated assessment
M10,M10_Q02_PATIENT_AUTONOMY_AND_SAFETY,"A fictional patient is worried about cost and hesitates to accept a recommended support service. Which RN case management response best balances autonomy and safety?",multiple_choice,"Mark the patient as refusing care and close the follow-up task","Explain the risk and options within RN scope, ask about barriers, document the discussion, and arrange follow-up","Tell the family to decide for the patient because the recommendation is clinically important","Remove the service from the plan without documenting education or patient concerns",B,"The correct response respects the patient's choice while providing education, assessing barriers, documenting the conversation, and keeping follow-up active when safety concerns remain.",applied,ethics and patient rights
M10,M10_Q03_PAYER_SAFE_COMMUNICATION,"In the capstone case, payer review is pending for a service that may reduce transition risk. Which communication is most appropriate for the RN case manager?",multiple_choice,"The service is guaranteed because the patient needs it","The patient should wait for payer approval before contacting the provider about symptoms","The patient has documented transition risks and functional barriers; clinical facts are being submitted for review without promising coverage","The payer must approve the service because the discharge summary mentions it",C,"Payer-safe communication presents relevant clinical facts and patient-care risks without guaranteeing coverage or substituting the RN's statement for the payer decision.",applied,payer communication
M10,M10_Q04_AUDIT_READY_DOCUMENTATION,"Which documentation entry best supports audit-ready RN case management in the final capstone packet?",multiple_choice,"Called several people; will keep working on case","Patient is difficult and does not follow instructions","Everything is pending, no note needed until resolved","Patient reported shortness of breath with activity and missed two doses due to pharmacy access; provider message sent, pharmacy contacted, patient educated on ordered instructions, follow-up call scheduled",D,"The correct entry links assessment findings, RN actions, education, communication, and follow-up in factual language that supports continuity and review.",applied,documentation packet
M10,M10_Q05_QUALITY_ESCALATION_TRIGGER,"During the capstone, the learner identifies repeated handoff failures that delayed medication clarification for multiple fictional patients. What is the best RN case management action?",multiple_choice,"Document the pattern and route it through the appropriate quality or risk review process while addressing the current patient safety concern","Ignore the pattern because only the current patient matters in case management","Rewrite the record so the delay is less visible","Promise patients that the system issue will not happen again",A,"A repeated handoff failure can be both a current safety issue and a quality concern, so the RN should document facts, protect the current patient, and use the appropriate review pathway.",advanced,quality escalation
M10,M10_Q06_MEDICATION_ACCESS_JUDGMENT,"A fictional patient cannot obtain a newly ordered medication after discharge and reports worsening fatigue. Which action best reflects RN case management judgment?",multiple_choice,"Wait until the next scheduled check-in because pharmacy issues are administrative","Assess current symptoms, contact the appropriate clinical channel about the concern, coordinate pharmacy follow-up, and document pending responses","Tell the patient to change the medication schedule until the pharmacy problem is solved","Close the case because the prescription was already written",B,"Medication access combined with worsening symptoms can affect safety; the RN should assess, coordinate, escalate through the proper channel, and document follow-up without changing orders independently.",applied,medication access
M10,M10_Q07_FINAL_ASSESSMENT_READINESS,"Which learner behavior best demonstrates readiness for the M10 final assessment?",multiple_choice,"Memorizing module titles without applying them to a case","Choosing the fastest task in each scenario even when risk is unresolved","Selecting actions that connect assessment findings to safe coordination, scope, documentation, ethics, and follow-up","Assuming every question has the same answer because all case management decisions are identical",C,"Final assessment readiness is shown by applying integrated RN case management reasoning across patient safety, coordination, documentation, scope, ethics, and follow-up.",foundational,final assessment readiness
M10,M10_Q08_ESCALATION_TIMING,"A fictional patient reports new confusion after discharge, cannot explain medication instructions, and is alone during the day. What priority level is most appropriate?",multiple_choice,"Routine follow-up next month because confusion is common after discharge","Documentation-only review because no direct care is being provided","No action until payer authorization is complete","Immediate or same-day escalation through the appropriate clinical pathway based on provider policy and urgency",D,"New confusion with medication uncertainty and limited support may indicate a high-risk change in condition, requiring prompt escalation and documented follow-up.",applied,high-risk escalation
M10,M10_Q09_CONFIDENTIALITY_BOUNDARY,"A family member asks for details from the fictional patient's care plan, but the scenario states the patient has not authorized sharing that information. What should the RN case manager do?",multiple_choice,"Protect confidentiality, verify authorization requirements, involve the patient as appropriate, and document the communication boundary","Share all details because family involvement usually improves coordination","Refuse all family communication even about general support options","Ask the payer to decide what information the family can receive",A,"The RN supports coordination while protecting confidentiality by verifying permission, involving the patient when appropriate, and documenting the boundary.",applied,ethics and confidentiality
M10,M10_Q10_CLOSED_LOOP_COORDINATION,"Which capstone action best shows closed-loop coordination?",multiple_choice,"Leaving a message and assuming the issue is resolved","Documenting who was contacted, what was shared, what response was received or pending, and the follow-up trigger","Waiting for the patient to call back before recording any case-management action","Sending the same message to every party without identifying ownership",B,"Closed-loop coordination requires traceable communication, response status, ownership, and follow-up triggers so unresolved risks are not lost.",foundational,coordination
