module_id,question_name,question_text,question_type,answer_a,answer_b,answer_c,answer_d,correct_answer,rationale,difficulty,topic_area
M09,M09_Q01_RISK_STRATIFICATION,"M09 - Chronic Disease, Geriatric, and High-Risk Patient Management: Which finding pattern best supports classifying a fictional patient as high risk for RN case-management follow-up?",multiple_choice,"Recent hospitalization, worsening symptoms, medication discrepancy, fall history, and limited caregiver support","Stable chronic disease, reliable teach-back, resolved transportation plan, and no recent changes","One routine preventive appointment with no functional or medication concern","Preference for afternoon phone calls with no clinical or access barrier",A,"Risk stratification is strongest when several clinical, functional, medication, utilization, and support markers cluster together; the other options describe routine preferences or stable status without high-risk indicators.",foundational,risk stratification
M09,M09_Q02_POLYPHARMACY_SCENARIO,"A fictional older adult reports dizziness after discharge and has duplicate bottles of an older diuretic plus a new medication list. What is the best RN case-management action?",multiple_choice,"Tell the patient to stop the older bottle immediately and use only the newest list","Assess what the patient is actually taking, identify the discrepancy, provide safety teaching within scope, and coordinate provider or pharmacist review","Wait until the next scheduled visit because duplicate bottles are common after discharge","Document that the caregiver is responsible and close the medication concern",B,"The RN should not independently change prescriptions, but should assess actual use, recognize safety risk, coordinate authorized review, and document follow-up because dizziness and duplicate diuretics may create immediate harm.",applied,polypharmacy risk
M09,M09_Q03_FALLS_SCENARIO,"A fictional patient with neuropathy and mild memory difficulty has fallen twice this month. Which RN case-management response is most complete?",multiple_choice,"Advise the patient to be more careful and reassess at the next routine interval","Focus only on ordering a new walker without reviewing contributing factors","Assess circumstances, injury, dizziness, medications, cognition, environment, assistive-device use, and need for provider or therapy follow-up","Treat falls as expected aging and avoid escalation unless hospitalization occurs",C,"Repeated falls require assessment of multiple contributors and coordination with appropriate team members; limiting the response to a reminder or device misses medication, cognition, injury, and escalation concerns.",applied,geriatric falls
M09,M09_Q04_TEACH_BACK,"Which teaching method best fits chronic disease self-management for a high-risk patient with memory and caregiver-support concerns?",multiple_choice,"Provide every available handout and assume the patient will call if confused","Use technical disease-specific terms so the education sounds complete","Skip patient teaching and teach only the caregiver because the patient is older","Review a few priority warning signs in plain language and ask the patient or caregiver to explain the action plan back",D,"Teach-back confirms whether the explanation can be used at home and helps the RN adapt education for cognition, literacy, caregiver availability, and condition-specific warning signs.",foundational,chronic disease teaching
M09,M09_Q05_CAREGIVER_STRAIN,"Why is caregiver strain a case-management risk marker in high-risk chronic disease planning?",multiple_choice,"It can affect medication follow-through, appointment attendance, monitoring, safety, and transition success","It proves the patient cannot participate in the care plan","It removes the need for team communication because the caregiver is present","It is only a social issue and should not be documented by the RN case manager",A,"Caregiver strain can directly affect adherence, safety monitoring, transportation, teaching reinforcement, and escalation reliability, so it belongs in the care coordination assessment and plan.",foundational,caregiver strain
M09,M09_Q06_COGNITION_SCENARIO,"A fictional patient agrees with all teaching but cannot explain when to call the provider or how medications are organized. What should the RN case manager do next?",multiple_choice,"Record that teaching was completed because the patient nodded during the discussion","Re-teach using simpler language, involve approved caregiver support when appropriate, verify teach-back again, and document remaining barriers","Assume the patient is refusing care and end the education attempt","Diagnose dementia and remove the patient from decision-making",B,"Poor teach-back indicates the teaching plan did not yet work; the RN should adapt education, include support within consent and policy, document barriers, and coordinate follow-up without independently diagnosing cognition.",applied,cognition and safety
M09,M09_Q07_MULTIPLE_CONDITIONS_JUDGMENT,"A patient has diabetes, heart failure, kidney disease, poor intake, dizziness, and missed glucose checks. Which priority judgment is most appropriate?",multiple_choice,"Address only diabetes education because glucose checks were missed","Schedule routine follow-up after the next provider visit without additional assessment","Prioritize the combined risk cluster and coordinate medication, symptom, nutrition, monitoring, and provider communication follow-up","Close the case because multiple chronic conditions are outside RN case-management scope",C,"Multiple interacting conditions can magnify risk; the RN case manager should organize the cluster into coordinated assessment, teaching, communication, and follow-up rather than treating one item in isolation.",advanced,competing priorities
M09,M09_Q08_NUTRITION_AND_MONITORING,"Which finding should prompt the RN case manager to strengthen the monitoring and coordination plan for a high-risk chronic disease patient?",multiple_choice,"The patient prefers morning calls","The patient owns a scale and glucose meter","The caregiver knows the clinic phone number","The patient is eating poorly and missing ordered self-monitoring checks after a recent medication change",D,"Poor intake plus missed monitoring after medication changes can increase risk for decompensation, hypoglycemia, dehydration, or medication-related harm and should influence follow-up intensity.",applied,nutrition and monitoring
M09,M09_Q09_FOLLOW_UP_INTENSITY_SCENARIO,"A fictional patient reports dizziness, two recent falls, medication confusion, missed follow-up, and caregiver exhaustion. Which follow-up timing is best supported?",multiple_choice,"Same-day assessment and communication through appropriate provider, pharmacy, supervisory, or team pathways according to policy","Routine monthly call because each issue can be handled separately","No follow-up until the caregiver requests help","Annual review because the patient is already enrolled in case management",A,"The risk cluster suggests potential current safety threats and unresolved medication or fall concerns, so same-day follow-up and communication are more appropriate than routine monitoring.",advanced,follow-up timing
M09,M09_Q10_PROVIDER_COMMUNICATION,"Which provider communication is most useful for M09 high-risk RN case management?",multiple_choice,"The patient is complicated and needs something done soon","Fictional patient reports dizziness on standing, two falls this month, duplicate diuretic bottles, poor intake, and missed glucose checks; request medication and symptom guidance today","The caregiver seems stressed, but there is no need to include clinical details","Please approve all requested services and guarantee coverage",B,"Effective provider communication is concise, factual, patient-specific, time-sensitive, and clear about the requested action; vague or payer-promising language does not support safe coordination.",applied,provider communication
M09,M09_Q11_PATIENT_GOALS_APPLICATION,"Which care-plan goal is most measurable and patient-centered for a fictional high-risk chronic disease case?",multiple_choice,"Patient will improve chronic disease management","Caregiver will handle all medications without further RN involvement","Patient or approved caregiver will explain three warning signs, identify who to call, and confirm the next follow-up date before the end of the call","RN will make the patient compliant with the care plan",C,"The correct goal is observable, tied to teach-back, includes the call pathway and follow-up date, and avoids vague improvement language or coercive compliance wording.",applied,patient-centered goals
