module_id,question_name,question_text,question_type,answer_a,answer_b,answer_c,answer_d,correct_answer,rationale,difficulty,topic_area
"M03","M03_Q01_CLOSED_LOOP_CORE","Which action best completes closed-loop communication after an RN case manager sends a referral-related message?","multiple_choice","Confirm receipt, clarify the next action, and document the outcome or pending follow-up.","Assume the message was handled once it left the RN case manager's inbox.","Wait until the next scheduled visit before checking whether the referral was received.","Ask the patient to call every partner until someone responds.","A","Closed-loop communication requires confirmation and documentation of the response or unresolved barrier; sending a message alone does not prove the patient-care need was addressed.","foundational","closed-loop communication"
"M03","M03_Q02_SCENARIO_THERAPY_DELAY","Scenario: A fictional patient discharged after repeated falls has no confirmed home therapy evaluation date. What is the best RN case management response?","multiple_choice","Contact the therapy intake pathway with fall-risk facts, request evaluation timing, confirm receipt, update the patient, and document follow-up.","Tell the patient therapy referrals often take time and wait until the next routine call.","Document that therapy is pending without contacting anyone because referrals are not nursing concerns.","Promise the patient that therapy will arrive the same day.","A","The best response links fall risk to the therapy delay, uses closed-loop confirmation, keeps the patient informed, and avoids promising a result outside RN control.","applied","handoff quality"
"M03","M03_Q03_DISCIPLINE_SELECTION","Which example shows appropriate discipline selection by an RN case manager?","multiple_choice","Sending medication-access and instruction barriers to the pharmacy and provider while tracking patient safety risk.","Sending every problem to the same community agency because it is the easiest contact to reach.","Asking the patient to choose which clinician should receive all clinical messages.","Waiting to coordinate until every discipline has independently contacted the patient.","A","Appropriate discipline selection matches the patient need to the partner who can act while the RN tracks risk and follow-up within scope.","foundational","discipline selection"
"M03","M03_Q04_DOCUMENTATION_OUTCOME","Which documentation entry best supports continuity after a coordination call?","multiple_choice","RN contacted pharmacy, confirmed prescription received but provider clarification pending, notified provider office, updated patient, and will recheck by 1500.","Called pharmacy; issue pending.","Patient has medication problem and needs help soon.","Will follow up later if time allows.","A","The complete entry shows recipient, response, unresolved barrier, patient update, and next follow-up time, allowing another clinician to continue the work.","foundational","communication documentation"
"M03","M03_Q05_SCENARIO_WOUND_TRANSPORT","Scenario: A fictional patient may miss a wound clinic appointment because transportation failed. Which action best protects coordination?","multiple_choice","Cancel the appointment until the patient finds transportation independently.","Contact the clinic and transportation resource, explain time sensitivity, confirm the revised plan, update the patient, and document the outcome.","Tell the patient the wound clinic is responsible for all transportation barriers.","Document the missed appointment after it occurs without attempting coordination.","B","The correct action coordinates multiple partners, keeps the appointment barrier visible, confirms the plan, and includes the patient before the delay causes a care gap.","applied","community resource linkage"
"M03","M03_Q06_PROVIDER_MESSAGE","Which provider message is most appropriate for RN case management coordination?","multiple_choice","Patient has questions; please handle.","Fictional patient reports unclear high-risk medication instructions after discharge; pharmacy needs clarification; please advise today or identify next step.","Medication instructions are wrong and must be changed immediately.","The RN case manager approved the medication plan after speaking with the patient.","B","The best provider message gives concise clinical context, states the barrier, requests a time-sensitive response, and avoids diagnosing or changing orders independently.","applied","provider communication"
"M03","M03_Q07_SCENARIO_PHARMACY_BARRIER","Scenario: A pharmacy says a medication cannot be filled until missing clarification is received. What should the RN case manager do next?","multiple_choice","Tell the patient to skip the medication until the pharmacy solves it.","Notify the appropriate provider channel with pharmacy details, confirm the response plan, update the patient, and document next follow-up.","Ask the pharmacy to rewrite the provider's order so the patient can obtain the medication faster.","Close the case because pharmacy access issues are outside care coordination.","B","The RN coordinates the pharmacy-provider communication loop and tracks patient safety without asking the pharmacy or RN to make a provider-only change.","applied","pharmacy coordination"
"M03","M03_Q08_PATIENT_INCLUSION","Which statement best reflects patient inclusion during interdisciplinary coordination?","multiple_choice","The RN should coordinate privately so the patient does not need to know what is happening.","The RN explains the plan in usable language, confirms contact preferences, reviews what to expect, and documents patient updates.","The patient should call each partner daily because patient effort closes the loop.","Patient inclusion is only needed after every referral is fully resolved.","B","Patient inclusion means the plan is understandable and usable for the patient while the RN continues to manage communication and documentation responsibilities.","foundational","patient inclusion"
"M03","M03_Q09_SCENARIO_NO_RESPONSE","Scenario: A provider office has not responded to a time-sensitive medication clarification request by the expected time. What is the safest RN case management action?","multiple_choice","Wait several days because provider offices set their own timelines.","Mark the issue resolved because the request was sent.","Escalate through the appropriate pathway, document the delay and risk, update the patient, and schedule the next follow-up.","Ask the patient to change the medication based on symptoms.","C","A delayed response that affects medication safety requires escalation and documentation; the RN does not change orders or leave the loop open.","advanced","escalation pathway"
"M03","M03_Q10_TEAM_ACCOUNTABILITY","Which phrase best establishes team accountability in a coordination note?","multiple_choice","Someone will follow up soon.","Referral issue is being handled.","Social work accepted follow-up for caregiver support by next business day; RN will verify status if patient reports no contact.","The patient understands that many teams are involved.","C","The correct phrase names the owner, action, time frame, and RN verification plan, which makes the next step traceable.","applied","team accountability"
"M03","M03_Q11_HANDOFF_CONTENT","What information is most important in a safe interdisciplinary handoff?","multiple_choice","Only the name of the next discipline because the chart contains everything else.","A long narrative including every unrelated historical detail.","Current status, relevant risk, requested action, urgency, and follow-up ownership.","A statement that the RN has finished all responsibility once the message is sent.","C","A useful handoff gives the recipient enough focused information to act while preserving accountability for time-sensitive follow-up.","foundational","handoff quality"
"M03","M03_Q12_SCENARIO_COMMUNITY_RESOURCE","Scenario: A fictional patient cannot access meals after discharge, which may affect medication tolerance and wound healing. Which RN action is best?","multiple_choice","Tell the patient community resources are guaranteed once a referral is sent.","Document the concern but avoid resource coordination because it is nonclinical.","Coordinate an appropriate resource referral, explain eligibility is not guaranteed, assess interim risk, and track the response.","Wait for the patient to request help again before taking action.","C","The RN links the social barrier to clinical risk, coordinates a resource without overpromising, and tracks the response because the barrier affects care outcomes.","applied","community resource linkage"
"M03","M03_Q13_SCENARIO_PATIENT_CONFUSION","Scenario: A fictional patient says different team members gave conflicting instructions about follow-up. What is the best RN case management response?","multiple_choice","Tell the patient to choose whichever instruction is easiest to follow.","Ask the patient not to contact the team again until the next appointment.","Document confusion but take no action because conflicting instructions are common.","Clarify the conflicting instructions with the appropriate partners, provide patient-centered updates within scope, and document the confirmed plan.","D","Conflicting instructions create coordination risk; the RN should clarify with accountable partners, include the patient, and document the confirmed plan.","advanced","patient inclusion"
